,EventTemplate,Occurrences
0,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= {bool}, startingDisplayed =  {bool}, startingMoved =  {bool}, isRelaunching =  {bool}",1
1,"acquire lock={number}, flags={hex}, tag={string}, name={string}, ws={null}, uid={number}, pid={number}",6
2,"ready={bool},policy={number},wakefulness={number},wksummary={hex},uasummary={hex},bootcompleted={bool},boostinprogress={bool},waitmodeenable={bool},mode={bool},manual={number},auto={number},adj={number}userId={number}",198
3,Skipping AppWindowToken{token=Token{ActivityRecord{u0 {packageName}/{activityName} t{taskId}}}} -- going to hide,1
4,visible is {string}.{string}.{string},2
5,{method}.getValue is {bool},4
6,visible is {string},1
7,visible is {string}.{string}.{string} {string} {number},2
8,{string}.{string} is {bool},1
9,"release:lock={number}, flg={hex}, tag=""{string}"", name=""{string}"", ws={null}, uid={number}, pid={number}",17
10,Skipping AppWindowToken{token={token} ActivityRecord{activityRecord} -- going to hide,1
11,"updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}",65
12,updateDimmedActivatedHideSensitive overlap:{bool},65
13,getRunningAppProcesses: caller {number} does not hold REAL_GET_TASKS; limiting output,62
14,"release:lock={number}, flg={hex}, tag=""{string}"", name=""{string}"", ws=WorkSource{number}, uid={number}, pid={number}",9
15,"setSystemUiVisibility vis={number} mask={hex} oldVal={number} newVal={number} diff={number} fullscreenStackVis={number} dockedStackVis={number}, fullscreenStackBounds=Rect({number}, {number} - {number}, {number}), dockedStackBounds=Rect({number}, {number} - {number}, {number})",3
16,cancelAutohide,15
17,"notifyUiVisibilityChanged:vis={hex}, SystemUiVisibility={hex}",19
18,Destroying surface Surface(name={string} - {string}) called by {string}.{string}:{number} {string}.{string}:{number} {string}.{string}:{number} {string}.{string}:{number} {string}.{string}:{number} {string}.{string}:{number} <bottom of call stack> <bottom of call,1
19,Destroying surface Surface(name={string}) called by {string}.{string}:{number} {string}.{string}:{number} {string}.{string}:{number} {string}.{string}:{number} {string}.{string}:{number} {string}.{string}:{number} android.view.IWindowS,1
20,"userActivityNoUpdateLocked: eventTime={number}, event={number}, flags={hex}, uid={number}",69
21,"{string} change is complete, call {string}",1
22,Screen frozen for +{number}s{number}ms due to Window{ca98d5 u0 com.tencent.qt.qtl/com.tencent.qt.qtl.activity.info.NewsDetailXmlActivity},1
23,{string} {string},2
24,remove(PendingIntent{19abed0: PendingIntentRecord{a485420 {packageName} {action}}}) changed bounds; rebatching,1
25,"rotationForOrientationLw(orient={number}, last={number}); user={number} USER_ROTATION_LOCKED",3
26,"Application requested orientation {number}, got rotation {number} which has compatible metrics",3
27,"acquire lock={number}, flags={hex}, tag=""{string}"", name={string}, ws={null}, uid={number}, pid={number}",11
28,shouldBlockLocation running ...,37
29,shouldBlockLocation  ret:{bool},37
30,getNeighboringCellInfo calling app is {string},5
31,"Releasing suspend blocker ""{string}"".",33
32,HBM brightnessIn ={number},85
33,HBM brightnessOut ={number},85
34,"Animating brightness: target={number}, rate={number}",85
35,{string},25
36,interceptKeyTq keycode={number} interactive={bool} keyguardActive={bool} policyFlags={hex} down {bool} canceled {bool},14
37,"interceptKeyBeforeQueueing: key {number} , result : {number}",14
38,resumeSuspendedAutohide,10
39,querySoundEffectsEnabled...,17
40,"acquire lock={number}, flags={hex}, tag=""{string}"", name={string}, ws=WorkSource{number}, uid={number}, pid={number}",8
41,"Acquiring suspend blocker ""{string}"".",33
42,Skipping AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}} -- going to hide,2
43,"setSystemUiVisibility vis={number} mask={hex} oldVal={hex} newVal={number} diff={hex} fullscreenStackVis={number} dockedStackVis={number}, fullscreenStackBounds=Rect({number}, {number} - {number}, {number}), dockedStackBounds=Rect({number}, {number} - {number}, {number})",5
44,Bad activity token: {activityToken},1
45,java.lang.ClassCastException: {class} cannot be cast to {class},1
46,"onTouchEvent::{number}, x={number}, y={number}",2
47,schedulePeek,1
48,getRingtonePlayer...,2
49,disable: < expand {ICONS*} alerts {SYSTEM_INFO*} back home recent clock navigationbar search quick_settings >,3
50,"updateLightsLocked,mInCall ={bool},mScreenOn = {bool},ledNotification == null?{bool}",6
51,"updateLightsLocked,turn off notificationLight",6
52,"overlapAmount:{number}, previousNotificationEnd:{number}, newYTranslation:{number}, location:{number}, i:{number}, getTopPadding:{number}, getLocationOnScreen():{number}",13
53,"state.clipTopAmount:{number}, i:{number}",13
54,"setSystemUiVisibility vis={hex} mask={hex} oldVal={hex} newVal={hex} diff={number} fullscreenStackVis={number} dockedStackVis={number}, fullscreenStackBounds=Rect({number}, {number} - {number}, {number}), dockedStackBounds=Rect({number}, {number} - {number}, {number})",1
55,onExpandingStarted,2
56,onTrackingStarted,1
57,Destroying surface Surface(name={string}) called by {string}.{string}:{number} {string}.{string}:{number} {string}.{string}:{number} {string}.{string}:{number} {string}.{string}:{number} {string}.{string}:{number},1
58,cancelPeek: {bool},20
59,"flingToHeight: vel={number}, expand={bool}, target={number}, collapseSpeedUpFactor={number}, expandBecauseOfFalsing={bool}",2
60,onTrackingStopped: {bool},1
61,onExpandingFinished,2
62,Sending non-protected broadcast {string} from system {number}:{string} pkg {string},2
63,logNotificationVisibilityChanges runInThread start,6
64,onNotificationVisibilityChanged called,6
65,logNotificationVisibilityChanges {action} {location},1
66,isSimPinSecure {variable} is {condition} or {condition},1
67,registerCallback not in UI.,1
68,android.util.AndroidRuntimeException: {string},3
69,*** register callback for {string},1
70,registerCallback not in {string}.,2
71,*** unregister callback for {string},1
72,[PhoneIntfMgr] getDataEnabled: subId={number} phoneId={number},1
73,[PhoneIntfMgr] getDataEnabled: subId={number} retVal={bool},1
74,"ready={bool},policy={number},wakefulness={number},wksummary={hex},uasummary={hex},bootcompleted={bool},boostinprogress={bool},waitmodeenable={bool},mode={bool},manual={number},auto={number},adj={float}userId={number}",1
75,"onInterceptTouchEvent MotionEvent { action={string}, actionButton={number}, id[0]={number}, x[0]={number}, y[0]={number}, toolType[0]={string}, buttonState={number}, metaState={number}, flags={hex}, edgeFlags={hex}, pointerCount={number}, historySize={number}, eventTime={number}, downTime={number}, deviceId={number}, source={hex} }, mBlockTouches={bool}",4
76,playSoundEffect   effectType: {number},10
77,"animateCollapsePanels:flags={number}, force={bool}, delayed={bool}, mExpandedVisible={bool}",8
78,logNotificationVisibilityChanges {string} {string} {string},3
79,START u{number} {act={string} flg={hex} cmp={string} (has extras)} from uid {number} on display {number},1
80,"ActivityRecord info: ActivityInfo{${packageName} ${activityName}}, euid: ${euid}",1
