,EventTemplate,Occurrences
0,{host} open through proxy {proxy_type} {proxy_host}:{proxy_port} {proxy_protocol},355
1,{host} open through proxy {proxy_host} {protocol},70
2,"{host} close, {sent_size} bytes sent, {received_size} bytes received, lifetime {time}",174
3,{host} open through proxy {proxy_type} {proxy_host}:{proxy_port} {protocol},36
4,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",765
5,{source_ip}:{source_port} open through proxy {proxy_host}:{proxy_port} {proxy_type},2
6,{host} error : {error_message},11
7,{host}:{port} error : {error_message},5
8,{host} open through proxy {proxy_type},4
9,{client_ip}:{client_port} open through proxy {proxy_host}:{proxy_port} {protocol},4
10,{host} open through proxy {proxy} {protocol},225
11,{source_host}:{source_port} open through proxy {proxy_host}:{proxy_port} {protocol},27
12,{host} error : {message},13
13,"{host} error : {error_message} - Proxy server cannot establish a connection with the target, status code {status_code}",14
14,{host} error : {error_description},6
15,"{client_ip}:{client_port} error : {error_message} - Proxy server cannot establish a connection with the target, status code {status_code}",2
16,error : {error_description},1
17,{host}:{port} open through proxy {proxy} {protocol},37
18,{host}:{port} open through proxy {proxy_host}:{proxy_port} {protocol},119
19,{host}:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2
20,t12.baidu.com:80 open through proxy {proxy_host} HTTPS,3
21,"t{host} close, {sent_size} bytes sent, {received_size} bytes received, lifetime {time}",5
22,{host} open through proxy {proxy} HTTPS,9
23,{client_host}:{client_port} open through proxy {proxy_host}:{proxy_port} {protocol},37
24,{client_host}:{port} open through proxy {proxy_host}:{proxy_port} {protocol},4
25,"s1.img4399.com:80 close, 0 bytes sent, 0 bytes received, lifetime 00:21",1
26,t{host}:{port} open through proxy {proxy_host}:{proxy_port} {protocol},1
27,{host}:443 open through proxy {proxy} HTTPS,6
28,t{host}:{port} open through proxy proxy.{proxy_host}:{proxy_port} {protocol},4
29,"t12.baidu.com:80 close, {sent_size} sent, {received_size} received, lifetime {time}",1
30,trello.com:443 open through proxy {proxy_host} HTTPS,1
31,{source_host} open through proxy {proxy_host} {protocol},4
32,{client_ip}:{client_port} error : Could not connect to proxy {proxy_host}:{proxy_port} - {error_message},4
33,{host} error : Could not connect to proxy {proxy_host} - {error_message},1
34,{host} error : {error_message} - {proxy_error_message} error {error_code},2
35,{host}:{port} error : {error_message} - {error_code},1
36,{host}:{port} error : {error_message} - Could not resolve {proxy_host} error {error_code},2
37,{host}:{port} error : {error_message} - {proxy_host}:{proxy_port} {proxy_error_code},1
38,{host}:{port} error : {error_message} - {proxy_host}:{proxy_port} {proxy_error_message} {proxy_error_code},2
39,{service}:{port} error : {error_message} - Could not resolve {host} error {error_code},1
40,{host}:{port} error : {error_message} - {proxy_error_message} error {error_code},1
41,trello.com:443 open through proxy {proxy} HTTPS,1
42,"trello.com:443 close, {sent_size} sent, {received_size} received, lifetime {time}",1
43,{host} error : Could not connect to proxy {proxy} - {error_message},1
44,{source_ip}:{source_port} open through proxy {proxy_host}:{proxy_port} {protocol},3
45,{client_ip}:{port} open through proxy {proxy} {protocol},1
46,{host} error : Could not connect through proxy {proxy} - Proxy closed the connection unexpectedly.,1
47,{host} error : {error_message} - Could not resolve {proxy_host} error {error_code},1
48,{host} error : Could not connect to proxy {proxy_host} - connection attempt failed with error {error_code},15
49,{client_host}:{port} error : Could not connect to proxy {proxy_host}:{proxy_port} - connection attempt failed with error {error_code},5
50,{client_channel_host}:{client_channel_port} error : Could not connect to proxy {proxy_host}:{proxy_port} - connection attempt failed with error {error_code},1
51,{host}:{port} error : {error_message} - connection attempt failed with error {error_code},1
52,{client_host}:{client_port} error : Could not connect to proxy {proxy_host}:{proxy_port} - connection attempt failed with error {error_code},2
53,{client_channel} error : Could not connect to proxy {proxy_host} - connection attempt failed with error {error_code},1
54,{source_host} error : Could not connect to proxy {proxy_host} - connection attempt failed with error {error_code},1
55,{src_host}:{src_port} open through proxy {proxy_host}:{proxy_port} {protocol},1
56,"{host}:{port} error : {error_message} - Proxy server cannot establish a connection with the target, status code {status_code}",1
