,EventTemplate,Occurrences
0,instruction cache parity error {status},42
1,63543 double-hummer alignment {exceptions},1
2,162 {exception_type} alignment exceptions,1
3,{number} double-hummer alignment exceptions,3
4,"CE sym {number}, at {address}, mask {mask}",32
5,ciod: failed to read message prefix on control stream (CioStream socket to {ip}:{port},3
6,"CE sym {sym}, at {address}, mask {mask}",59
7,generating core.{code},571
8,generating core.{id},121
9,generating core.{version},2
10,force load/store alignment...............{code},2
11,ciod: cpu {number} at treeaddr {address} sent unrecognized message {message},1
12,ciod: LOGIN chdir({directory}) failed: {error},10
13,"1 ddr errors(s) detected and corrected on rank {rank}, symbol {symbol}, bit {bit}",12
14,data TLB error interrupt,60
15,"CE sym {number}, at {memory_address}, mask {mask}",1
16,ciod: Message code 0 is not {code} or {value},1
17,data storage interrupt,24
18,data storage {event},6
19,instruction address: {address},21
20,data address: {address},8
21,machine check: i-fetch......................{code},5
22,program interrupt: illegal instruction......{code},8
23,exception syndrome register: {register},5
24,data store interrupt caused by dcbf.........{code},5
25,program interrupt: privileged instruction...{code},5
26,program interrupt: trap instruction.........{code},1
27,program interrupt: imprecise exception......{code},5
28,store operation.............................{code},2
29,machine state register: {state},4
30,data store interrupt caused by icbi.........{code},4
31,"problem state (0=sup,1=usr).......{code}",2
32,data store interrupt caused by {cause}.........{code},1
33,floating point instr. enabled.....{code},4
34,auxiliary processor.........................{code},5
35,machine check enable..............{code},2
36,floating pt ex mode 0 enable......{code},2
37,program interrupt: unimplemented operation..{code},2
38,debug interrupt enable............{code},1
39,floating pt ex mode 1 enable......{value},2
40,byte ordering exception.....................{code},2
41,data address space................{value},2
42,data address space................{address},3
43,core configuration register: {value},7
44,program interrupt: fp cr update.............{code},1
45,guaranteed instruction cache block touch.{code},2
46,program interrupt: fp cr field .............{value},4
47,guaranteed data cache block touch........{code},1
48,icache prefetch depth....................{depth},1
49,icache prefetch threshold................{value},2
50,wait state enable.................{code},1
51,critical input interrupt enable...{code},1
52,"problem state (0=sup,1=usr).......{state}",1
53,special purpose registers:,1
54,lr:{lr} cr:{cr} xer:{xer} ctr:{ctr},1
55,{code} internal error,1
56,floating pt ex mode {mode} enable......{code},1
57,debug wait enable.................{code},2
58,instruction address space.........{value},1
59,disable store gathering..................{code},3
60,generating core.{number},5
61,total of {count} ddr error(s) detected and corrected,13
62,"ciod: Error loading /home/draeger/testQboxhang-nozerobytebug-nosleepyescomm: invalid or missing program image, No such file or directory",1
63,ciod: Error creating node map from file {file_path}: No child processes,1
64,"ciod: Error loading {file_path}: invalid or missing program image, {error_message}",10
65,199680 double-hummer alignment {exceptions},1
66,1969920 double-hummer alignment {exceptions},1
67,{code} double-hummer alignment exceptions,67
68,6182400 double-hummer alignment {exceptions},2
69,3091200 double-hummer alignment {exceptions},1
70,"ciod: Error loading /home/glosli/src/ddcMD/ddcMD/1.1.13/ddcMDbglV: invalid or missing program image, No such file or directory",1
71,program interrupt,3
72,exception syndrome register: {register_value},1
73,Node card is not fully functional,6
74,344040 double-hummer alignment {exceptions},2
75,ciod: Error creating node map from file {file_path}: Bad file descriptor,1
76,Ido chip status changed: FF:F2:9F:16:E2:23:00:0D:60:E9:1D:DC ip={ip} v={version} t={type} status={status} Fri Jul 01 08:16:53 PDT 2005,1
77,Can not get assembly information for {node},5
78,1146800 double-hummer alignment exceptions,1
79,1146800 double-hummer alignment {exceptions},3
80,458720 double-hummer alignment {exceptions},5
81,1146800 {exception_type} alignment exceptions,1
82,generating core.{core_id},2
83,generating core.{process_id},13
84,ciod: Missing or invalid fields on line {line} of node map file {file},2
85,1 torus receiver z+ input pipe error(s) (dcr {code}) detected and corrected,1
86,634368144 double-hummer alignment {exceptions},1
87,ciod: duplicate canonical-rank {rank} to logical-rank {rank} mapping at line {line} of node map file {file},1
88,ciod: Error creating node map from file {file_path}: Block device required,1
89,{timestamp} double-hummer alignment exceptions,3
90,1401390016 {exception_type} alignment exceptions,1
91,generating core.{processId},5
92,"ciod: Error loading /home/greeno/{file_path}: invalid or missing program image, {error_message}",1
93,rts panic! - stopping execution,2
94,116332728 double-hummer alignment {exceptions},1
95,generating core.{pid},2
96,ciod: Error creating node map from file {file_path}: Permission denied,1
97,ciod: Z coordinate {coordinate} exceeds physical dimension {dimension} at line {line} of node map file {file},1
98,"rts: kernel terminated for reason {reason}rts: bad message header: invalid cpu, type={type}, cpu={cpu}, index={index}, total={total}",1
99,{count} floating point alignment exceptions,15
100,8 floating point alignment exceptions,15
101,8 floating point alignment {exceptions},9
102,{number} floating point alignment exceptions,17
103,8 {exceptionType} alignment exceptions,3
104,15 floating point alignment {exceptions},1
105,5 floating point alignment exceptions,13
106,15 floating point alignment exceptions,3
107,5 floating point alignment {exceptions},3
108,5 {exceptionType} alignment exceptions,1
109,{code} floating point alignment exceptions,39
110,New ido chip inserted into the database: FF:F2:9F:15:1F:72:00:0D:60:EA:E0:8D ip={ip} v={version} t={type},1
111,New ido chip inserted into the database: {ido} ip={ip} v={version} t={type},1
112,NodeCard is not fully functional,1
113,"Node card status: ALERT {alert1}, ALERT {alert2}, ALERT {alert3}, ALERT {alert4} is (are) active. Clock Mode is {mode}. Clock Select is {select}. Phy JTAG Reset is {phyReset}. ASIC JTAG Reset is {asicReset}. Temperature Mask is {tempMask}. No temperature error. Temperature Limit Error Latch is {tempLatch}. PGOOD is {pgood}. PGOOD error latch is {pgoodLatch}. MPGOOD is {mpgood}. MPGOOD error latch is {mpgoodLatch}. The 2.5 volt rail is OK. The 1.5 volt rail is OK.",1
114,"Node card VPD check: U11 node in processor card slot {slot} do not match. VPD ecid {ecid}, found {found}",1
115,New ido chip inserted into the database: {ido} ip={ip} v={v} t={t},1
116,idoproxydb hit ASSERT condition: ASSERT expression={expression} Source file={source_file} Source line={source_line} Function={function},17
117,idoproxydb hit ASSERT condition: ASSERT expression={expression} Source file={sourceFile} Source line={sourceLine} Function={function},12
118,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The {volt} volt rail is OK. The {volt} volt rail is OK.,5
119,"Node card VPD check: U01 node in processor card slot {slot} do not match. VPD ecid {ecid}, found {found_ecid}",3
120,Ido chip status changed: FF:F2:9F:16:EB:27:00:0D:60:E9:14:D8 ip={ip} v={version} t={type} status={status} {timestamp},1
121,Ido chip status changed: FF:F2:9F:15:7E:6E:00:0D:60:EA:81:91 ip={ip} v={version} t={type} status={status} {timestamp},1
122,"PrepareForService shutting down NodeCard(mLctn({mLctn}), mCardSernum({mCardSernum}), mLp({mLp}), mIp({mIp}), mType({mType})) as part of Service Action {action}",1
123,Ido chip status changed: {mac} ip={ip} v={version} t={type} status={status} {timestamp},1
124,Can not get assembly information for {info},1
125,rts tree/torus link training failed: wanted: {axis1} {axis2} {axis3}+ {axis3}- {axis4}+ {axis4}- {axis5}+ {axis5}- got: {axis1} {axis2} {axis3}- {axis4}- {axis5}+ {axis5}-,1
126,1 tree receiver {count} in re-synch state event(s) (dcr {code}) detected,1
127,ciod: Error loading /bgl/apps/scaletest/performance/MINIBEN/mb_243_0810/{program}.rts: {error},11
128,"ciod: Error loading /bgl/apps/scaletest/performance/MINIBEN/mb_243_0810/{program}.rts: invalid or missing program image, Exec format error",1
129,ciod: LOGIN chdir(pwd) failed: {error},2
