,EventTemplate,Occurrences
0,"{ip} ""{method} {url} {protocol}"" status: {status} len: {length} time: {response_time}",681
1,[instance: {instance}] VM Started (Lifecycle Event),17
2,[instance: {instance}] VM Paused (Lifecycle Event),19
3,[instance: {instance}] During sync_power_state the instance has a pending task ({task}). Skip.,34
4,image {instance} at ({path}): checking,82
5,"image {instance} at ({path}): in use: on this node {count} local, {count} on other nodes sharing this instance storage",82
6,Active base files: {path},82
7,Creating event {event}: {instance},1
8,[instance: {instance}] VM Resumed (Lifecycle Event),37
9,[instance: {instance}] Instance spawned successfully.,20
10,[instance: {instance}] Took {time} seconds to spawn the instance on the hypervisor.,22
11,[instance: {instance}] Took {time} seconds to build instance.,22
12,"{ip} ""{method} {url} HTTP/1.1"" status: {status} len: {length} time: {response_time}",68
13,Auditing locally available compute resources for node {node},15
14,"Total usable vcpus: {usable_vcpus}, total allocated vcpus: {allocated_vcpus}",7
15,Final resource view: name={name} phys_ram={phys_ram}MB used_ram={used_ram}MB phys_disk={phys_disk}GB used_disk={used_disk}GB total_vcpus={total_vcpus} used_vcpus={used_vcpus} pci_stats={pci_stats},7
16,Compute_service record updated for {service_name}:{service_name},2
17,"{ip_address} ""{request}"" status: {status_code} len: {length} time: {response_time}",25
18,"{ip_address} ""{http_method} {url} {http_version}"" status: {status_code} len: {content_length} time: {response_time}",1
19,"{ip1},{ip2} ""GET {url} HTTP/1.1"" status: {status} len: {length} time: {time}",32
20,"{ip} ""{method} {version}/v2/{uuid}/servers/{server_uuid} HTTP/1.1"" status: {status} len: {length} time: {response_time}",10
21,"{ip_address} ""{request_method} {url} {http_version}"" status: {status_code} len: {content_length} time: {response_time}",21
22,[instance: {instance}] Terminating instance,18
23,[instance: {instance}] Instance destroyed successfully.,21
24,[instance: {instance}] Deleting instance files {path},21
25,[instance: {instance}] Deletion of {path} complete,5
26,[instance: {instance}] Took {time} seconds to destroy the instance on the hypervisor.,21
27,[instance: {instance}] Took {time} seconds to deallocate network for instance.,21
28,Unknown base file: {path},30
29,Removable base files: {path},30
30,Removing base or swap file: {path},21
31,HTTP exception thrown: {error},12
32,"[instance: {instance}] Attempting claim: memory {memory} MB, disk {disk} GB, vcpus {vcpus} CPU",20
33,"[instance: {instance}] Total memory: {total_memory} MB, used: {used_memory} MB",21
34,"[instance: {instance}] memory limit: {limit} MB, free: {free} MB",13
35,"[instance: {instance}] Total disk: {total_disk} GB, used: {used_disk} GB",21
36,"[instance: {instance}] disk limit not specified, defaulting to unlimited",19
37,"[instance: {instance}] Total vcpu: {total_vcpu} VCPU, used: {used_vcpu} VCPU",21
38,"[instance: {instance}] vcpu limit not specified, defaulting to unlimited",21
39,[instance: {instance}] Claim successful,17
40,"{ip} ""{method} {version}/v2/{uuid}/servers/{server_id} {protocol}"" status: {status} len: {length} time: {response_time}",2
41,[instance: {instance}] Creating image,18
42,[instance: {instance}] VM Stopped (Lifecycle Event),15
43,"{ip} ""{method} {url} {protocol}"" status: {status} len: {length} time: {duration}",19
44,Creating event network-vif-plugged:{event_type} for instance {instance_id},1
45,Successfully synced instances from host '{host}'.,2
46,"{ip_address},{ip_address} ""GET {url} HTTP/1.1"" status: {status_code} len: {length} time: {response_time}",20
47,"{ip_address} ""{request_method} {url} {http_version}"" status: {status_code} len: {length} time: {response_time}",10
48,"{ip1},{ip2} ""GET {path} HTTP/1.1"" status: {status} len: {length} time: {time}",10
49,"{ip_address} ""{http_method} {path} {protocol}"" status: {status_code} len: {length} time: {response_time}",10
50,"{ip} ""{method} {version}/v2/{uuid}/servers/{server_uuid} {protocol}"" status: {status} len: {length} time: {response_time}",3
51,"{ip_address},{ip_address} ""GET {path} HTTP/1.1"" status: {status_code} len: {length} time: {response_time}",13
52,Running instance usage audit for host {host} from {start_time} to {end_time}. {count} instances.,1
53,[instance: {instance}] Deletion of {path}_del complete,16
54,"{ip} ""{method} {url} {protocol}"" status: {status} len: {length} time: {time}",2
55,"{ip} ""{method} {version}/{uuid}/servers/{server_id} HTTP/1.1"" status: {status} len: {length} time: {response_time}",2
56,Final resource view: name={name} phys_ram={ram}MB used_ram={used_ram}MB phys_disk={disk}GB used_disk={used_disk}GB total_vcpus={total_vcpus} used_vcpus={used_vcpus} pci_stats={pci_stats},2
57,Compute_service record updated for {instance},9
58,"{ip} ""{method} {url} HTTP/1.1"" status: {status} len: {length} time: {duration}",7
59,{event} VM Started (Lifecycle Event),1
60,Creating event {event_type}:{event_id} for instance {instance_id},10
61,[instance: {instance}] During sync_power_state the instance has a pending task (spawning). Skip.,6
62,"{ip_addresses} ""GET {url} HTTP/1.1"" status: {status_code} len: {length} time: {response_time}",23
63,[{instance}: Terminating instance],1
64,"{ip_address} ""{request_method} {url} {http_version}"" status: {status_code} len: {response_length} time: {response_time}",2
65,HTTP exception thrown: {error_message},9
66,Base or swap file too young to remove: {path},9
67, [instance: {instance}] Creating image,3
68,Creating event network-vif-plugged:{event} for instance {instance},1
69,"Total usable vcpus: {total_usable_vcpus}, total allocated vcpus: {total_allocated_vcpus}",8
70,"[instance: {instance}] memory limit: {memory_limit} MB, free: {memory_free} MB",8
71, [instance: {instance}] Claim successful,1
72, [instance: {instance}] VM Started (Lifecycle Event),4
73,Creating event {event}: {instance} for instance {instance},6
74,"`{ip}, {ip} ""GET {path} HTTP/1.1"" status: {status} len: {length} time: {time}""",10
75,"{ip_address} ""{http_method} {path} {protocol}"" status: {status_code} len: {content_length} time: {response_time}",2
76,"{ip} ""{method} {version}/v2/{id}/servers/{server_id} HTTP/1.1"" status: {status} len: {length} time: {response_time}",8
77,Final resource view: name={name} phys_ram={phys_ram} used_ram={used_ram} phys_disk={phys_disk} used_disk={used_disk} total_vcpus={total_vcpus} used_vcpus={used_vcpus} pci_stats={pci_stats},6
78,Compute_service record updated for {instance}:{instance},1
79, [instance: {instance}] VM Stopped (Lifecycle Event),5
80,"10.11.10.1 ""{method} {url} HTTP/1.1"" status: {status} len: {length} time: {response_time}",1
81, [instance: {instance}] VM Paused (Lifecycle Event),3
82,{instance} VM Resumed (Lifecycle Event),2
83,"{ip_address} ""{http_method} {url} {http_version}"" status: {status_code} len: {length} time: {response_time}",4
84,Compute_service record updated for {service},3
85,[{instance}: {action} instance] {message},3
86,{instance} Claim successful,3
87,The instance sync for host '{hostname}' did not match. Re-created its InstanceList.,5
88,"{ip_address},{ip_address} ""GET {url} HTTP/1.1"" status: {status_code} len: {length} time: {time}",1
89,"{ip},{ip} ""GET {path} HTTP/1.1"" status: {status} len: {length} time: {time}",6
90,"{ip1},{ip2} ""GET {url} HTTP/1.1"" status: {status} len: {length} time: {response_time}",4
91,"{ip1},{ip2} ""GET {path} HTTP/1.1"" status: {status} len: {length} time: {response_time}",2
92,"Attempting claim: memory {memory} MB, disk {disk} GB, vcpus {vcpus} CPU",1
