,EventTemplate,Occurrences
0,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>), dockedStackBounds=Rect(<*>)",200
1,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>=<*>",199
2,setLightsOn(<*>),181
3,HBM brightnessIn =<*>,85
4,HBM brightnessOut =<*>,85
5,"Animating brightness: target=<*>, rate=<*>",85
6,"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>",69
7,updateDimmedActivatedHideSensitive overlap:<*>,64
8,getRunningAppProcesses: caller <*> does not hold <*>; limiting output,56
9,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>",54
10,shouldBlockLocation running ...,37
11,shouldBlockLocation ret:<*>,37
12,"Releasing suspend blocker ""PowerManagerService.WakeLocks""",31
13,"Acquiring suspend blocker ""PowerManagerService.WakeLocks""",31
14,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",26
15,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>"", ws=<*>, uid=<*>, pid=<*>",26
16,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,25
17,suspendAutohide,23
18,"cancelNotification,index:<*>",23
19,"Skipping, withExcluded: <*>, tr.intent:<*>",23
20,Destroying surface Surface(name=<*>) called by <*>,21
21,getTasks: caller <*> does not hold REAL_GET_TASKS; limiting output,21
22,cancelPeek: <*>,20
23,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>",19
24,querySoundEffectsEnabled...,17
25,"cancelNotificationWithTag pid <*>,uid = <*>,tag = <*>,pkg =<*>,id =<*>",16
26,getTasks: caller <*> does not hold <*>; limiting output,16
27,cancelAutohide,15
28,interceptKeyTq keycode=<*> interactive=<*> keyguardActive=<*> policyFlags=<*> down <*> canceled <*>,14
29,"interceptKeyBeforeQueueing: key <*> , result : <*>",14
30,"getRecentTasks: num=<*>,flags=<*>,totalTasks=<*>",14
31,"state.clipTopAmount:<*>, i:<*>",13
32,"updateNotificationShade: total=<*>, active=<*>",13
33,removeNotificationChildren,12
34,closeQs,12
35,isMusicActive...,12
36,"overlapAmount:<*>, previousNotificationEnd:<*>, newYTranslation:<*>, location:<*>, i:<*>, getTopPadding:<*>, getLocationOnScreen():<*>",11
37,"updateClipping isOverlap=<*>, getTopPadding=<*>, Translation=<*>",11
38,"Skipping, withExcluded: <*>, tr.intent:Intent { act=<*> flg=<*> cmp=<*> (has extras) }",11
39,resumeSuspendedAutohide,10
40,playSoundEffect effectType: <*>,10
41,"Skipping, withExcluded: <*>, tr.intent:Intent { flg=<*> cmp=<*> bnds=[<*>] }",10
42,instantCollapse,9
43,getLastAudibleStreamVolume treamType: <*>,9
44,"animateCollapsePanels:flags=<*>, force=<*>, delayed=<*>, mExpandedVisible=<*>",8
45,getRecentTasks: topActivity=ComponentInfo{com.tencent.mobileqq/com.tencent.mobileqq.activity.SplashActivity},8
46,"Skipping, withExcluded: <*>, tr.intent:Intent { act=<*> dat=<*> typ=<*> flg=<*> cmp=<*> (has extras) }",7
47,"updateLightsLocked,mInCall =<*>,mScreenOn = <*>,ledNotification == <*>",6
48,"updateLightsLocked,turn off notificationLight",6
49,logNotificationVisibilityChanges runInThread start,6
50,onNotificationVisibilityChanged called,6
51,logNotificationVisibilityChanges runInThread over,6
52,The change in focus caused us to need to do a layout begin,6
53,The change in focus caused us to need to do a layout end,6
54,"Skipping, withExcluded: <*>, tr.intent:Intent { act=<*> dat=<*> flg=<*> cmp=<*> (has extras) }",6
55,cleanUpApplicationRecord -- <*>,6
56,"cleanUpApplicationRecordLocked, pid: <*>, restart: <*>",6
57,"cleanUpApplicationRecordLocked, reset pid: <*>, euid: <*>",6
58,stopWifiDisplayScanLocked record.mWifiDisplayScanRequested=<*>,6
59,stopWifiDisplayScanLocked mWifiDisplayScanRequestCount=<*>,6
60,mVisiblity.getValue is <*>,5
61,"Skipping, withExcluded: <*>, tr.intent:Intent { flg=<*> cmp=<*> (has extras) }",5
62,"onInterceptTouchEvent MotionEvent { action=<*>, actionButton=<*>, id[<*>]={id[<*>]}, x[<*>]={x[<*>]}, y[<*>]={y[<*>]}, toolType[<*>]={toolType[<*>]}, buttonState=<*>, metaState=<*>, flags=<*>, edgeFlags=<*>, pointerCount=<*>, historySize=<*>, eventTime=<*>, downTime=<*>, deviceId=<*>, source=<*> }, mBlockTouches=<*>",4
63,"ActivityRecord info: <*>, euid: <*>",4
64,"Taking screenshot from Surface with crop:[<*>], width:[<*>], height:[<*>], minLayer:[<*>], maxLayer:[<*>], inRotation:[<*>], rot:[<*>]",4
65,"cancelNotificationWithTag pid <*>,uid =<*>,tag =<*>,pkg =<*>,id =<*>",4
66,makeExpandedInvisible: mExpandedVisible=<*>,4
67,"ActivityManagerService,attachApplication,callingPid = <*>",4
68,mHeadsUpExistenceChangedRunnable,4
69,getRecentTasks: topActivity=ComponentInfo{com.example.android.notepad/com.example.android.notepad.NoteEditor},4
70,"rotationForOrientationLw(orient=<*>, last=<*>); user=<*> USER_ROTATION_LOCKED",3
71,getNeighboringCellInfo calling app is <*>,3
72,disable: < expand <*> alerts <*> back home recent clock navigationbar search quick_settings >,3
73,registerCallback not in UI.,3
74,android.util.AndroidRuntimeException: Must execute in UI,3
75,Received TIME_TICK alarm; rescheduling,3
76,scheduleTimeTickEvent triggerAtTime = <*>,3
77,handleTimeUpdate,3
78,getRingerMode...,3
79,getAllCellInfo is blocked by permission manager . callingPackage = <*>,3
80,"Application requested orientation <*>, got rotation <*> which has compatible metrics",2
81,Skipping AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}} -- going to hide,2
82,"onTouchEvent::<*>, x=<*>, y=<*>",2
83,getRingtonePlayer...,2
84,onExpandingStarted,2
85,"overlapAmount:<*>, previousNotificationEnd:<*>, newYTranslation:<*>, location:<*>, i:<*>, getTopPadding:<*>, getLocationOnScreen():{getLocationOnScreen()}",2
