,EventTemplate,Occurrences
0,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 {packageName}/.{activityName} t761}}}, allDrawn= {allDrawn}, startingDisplayed =  {startingDisplayed}, startingMoved =  {startingMoved}, isRelaunching =  {isRelaunching}",1
1,"acquire lock={lock}, flags={flags}, tag=""{tag}"", name={name}, ws={ws}, uid={uid}, pid={pid}",18
2,"ready={ready},policy={policy},wakefulness={wakefulness},wksummary={wksummary},uasummary={uasummary},bootcompleted={bootcompleted},boostinprogress={boostinprogress},waitmodeenable={waitmodeenable},mode={mode},manual={manual},auto={auto},adj={adj}userId={userId}",60
3,Skipping AppWindowToken{<token>} -- going to hide,2
4,{action} is {system}.{time}.{format},1
5,{functionName}.getValue is {value},5
6,{noun} is {adjective}.{noun}.{verb},1
7,{action},86
8,visible is {system}.{message}.{count} gt 0,1
9,visible is {variable},1
10,"release:lock={lock}, flg={flg}, tag=""{tag}"", name={name}"", ws={ws}, uid={uid}, pid={pid}",17
11,"ready={ready},policy={policy},wakefulness={wakefulness},wksummary={wksummary},uasummary={uasummary},bootcompleted={bootcompleted},boostinprogress={boostinprogress},waitmodeenable={waitmodeenable},mode={mode},manual={manual},auto={auto},adj={adj},userId={userId}",139
12,"updateClipping isOverlap:{isOverlap}, getTopPadding={topPadding}, Translation={translation}",39
13,update{Action}ActivatedHideSensitive overlap:{Overlap},4
14,{method}: caller {caller_id} does not hold {permission}; {limiting_output},21
15,"release:lock={lock}, flg={flg}, tag=""{tag}"", name={name}, ws=WorkSource{ws}, uid={uid}, pid={pid}",6
16,"setSystemUiVisibility vis={vis} mask={mask} oldVal={oldVal} newVal={newVal} diff={diff} fullscreenStackVis={fullscreenStackVis} dockedStackVis={dockedStackVis}, fullscreenStackBounds=Rect({left1}, {top1} - {right1}, {bottom1}), dockedStackBounds=Rect({left2}, {top2} - {right2}, {bottom2})",200
17,"notifyUiVisibilityChanged:vis={vis}, SystemUiVisibility={SystemUiVisibility}",19
18,Destroying surface Surface(name={surfaceName}) called by {caller} <bottom of call stack> <bottom of call,1
19,Destroying surface Surface(name={surface_name}) called by {caller_method},5
20,"release:lock={lock}, flg={flg}, tag=""{tag}"", name=""{name}"", ws=WorkSource{ws}, uid={uid}, pid={pid}",1
21,"userActivityNoUpdateLocked: eventTime={eventTime}, event={event}, flags={flags}, uid={uid}",69
22,"{action} change is complete, call {method}",1
23,Screen frozen for {duration} due to {window},1
24,{action} begin,1
25,{action} {result},1
26,remove(PendingIntent{19abed0: PendingIntentRecord{a485420 {packageName} {action} {intentType}}}) changed bounds; rebatching,1
27,"rotationForOrientationLw(orient={orient}, last={last}); user={user} USER_ROTATION_LOCKED",3
28,"Application requested orientation {orientation}, got rotation {rotation} which has compatible metrics",3
29,{action} running ...,37
30,shouldBlockLocation  ret:{boolean},37
31,{action} calling app is {app},3
32,"Releasing suspend blocker ""{blocker}"".",33
33,HBM brightnessIn ={value},85
34,HBM brightnessOut ={value},85
35,"Animating brightness: target={target}, rate={rate}",85
36,interceptKeyTq keycode={keycode} interactive={interactive} keyguardActive={keyguardActive} policyFlags={policyFlags} down {down} canceled {canceled},14
37,"interceptKeyBeforeQueueing: key {key} , result : {result}",14
38,{action}SoundEffectsEnabled...,11
39,"acquire lock={lock}, flags={flags}, tag=""{tag}"", name={name}, ws=WorkSource{ws}, uid={uid}, pid={pid}",5
40,"Acquiring suspend blocker ""{blocker}"".",32
41,Skipping AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}} -- going to hide,1
42,Bad activity token: {activity_token},1
43,{exceptionType}: {sourceType} cannot be cast to {targetType},1
44,Skipping AppWindowToken{9f4ef63 token={token} -- going to hide,1
45,"onTouchEvent::{action}, x={x_coord}, y={y_coord}",2
46,{functionName}...,3
47,disable: < expand {ICONS*} alerts {SYSTEM_INFO*} back home recent clock navigationbar search quick_settings >,3
48,"updateLightsLocked,mInCall ={mInCall},mScreenOn = {mScreenOn},ledNotification == null?{ledNotification}",6
49,"{methodName},{action}",6
50,"
overlapAmount:{overlapAmount}, previousNotificationEnd:{previousNotificationEnd}, newYTranslation:{newYTranslation}, location:{location}, i:{i}, getTopPadding:{getTopPadding}, getLocationOnScreen():{getLocationOnScreen}
",12
51,"state.clipTopAmount:{clipTopAmount}, i:{i}",13
52,{action} overlap:{boolean},49
53,{method}: caller {callerId} does not hold {permission}; {additionalInfo},2
54,{eventName},3
55,Destroying surface Surface(name={surfaceName}) called by {caller},3
56,"{functionName} isOverlap:{isOverlap}, getTopPadding={topPadding}, Translation={translation}",21
57,updateDimmedActivatedHideSensitive overlap:{boolean},5
58,cancelPeek: {boolean},5
59,"flingToHeight: vel={velocity}, expand={expand}, target={target}, collapseSpeedUpFactor={speedFactor}, expandBecauseOfFalsing={falsing}",1
60,onTrackingStopped: {status},1
61,"{action} isOverlap:{isOverlap}, getTopPadding={topPadding}, Translation={translation}",5
62,update{Action}ActivatedHide{Attribute} overlap:{Boolean},6
63,{action}Finished,2
64,Sending {broadcast_type} broadcast {broadcast_name} from {sender_details},1
65,{action} runInThread {status},7
66,{functionName} called,5
67,{functionName} {variableName} is null or empty,1
68,{functionName} not in {location}.,3
69,{tag}: {message},3
70,*** register callback for {component}@{address},1
71,*** unregister callback for {variable},1
72,"
[PhoneIntfMgr] getDataEnabled: subId={subId} phoneId={phoneId}
",1
73,[PhoneIntfMgr] getDataEnabled: subId={subId} retVal={retVal},1
74,"onInterceptTouchEvent MotionEvent { action={action}, actionButton={actionButton}, id[0]={id[0]}, x[0]={x[0]}, y[0]={y[0]}, toolType[0]={toolType[0]}, buttonState={buttonState}, metaState={metaState}, flags={flags}, edgeFlags={edgeFlags}, pointerCount={pointerCount}, historySize={historySize}, eventTime={eventTime}, downTime={downTime}, deviceId={deviceId}, source={source} }, mBlockTouches={mBlockTouches}",4
75,playSoundEffect   effectType: {effectType},10
76,"animateCollapsePanels:flags={flags}, force={force}, delayed={delayed}, mExpandedVisible={mExpandedVisible}",8
77,{action}Started,1
78,{method} called,5
79,START u0 {act=<activity> flg=<flags> cmp=<component>} from uid <uid> on display <display>,1
80,"ActivityRecord info: ActivityInfo{<activityInfo>}, euid: <euid>",2
81,"acquire lock={lock}, flags={flags}, tag=""{tag}"", name={name}, ws=WorkSource{{ws}}, uid={uid}, pid={pid}",3
82,"cancelNotification,index:{index}",22
83,"{action},{lockedAction},callingUid = {uid},callingPid = {pid}",2
84,"{methodName} called,tell the app,reason = {reason}",1
85,cancelNotificationLocked:{int}|{string}|{int}|{string}|{int},2
86,"cancelNotificationLocked,remove ={packageName}",2
87,applyOptionsLocked: Unknown animationType={type},1
88,cancelPeek: {cancelPeek},15
89,"flingToHeight: vel={vel}, expand={expand}, target={target}, collapseSpeedUpFactor={collapseSpeedUpFactor}, expandBecauseOfFalsing={expandBecauseOfFalsing}",1
