,EventTemplate,Occurrences
0,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",200
1,setLightsOn(<*>),160
2,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>,userId=<*>",139
3,<*>,114
4,HBM brightnessIn =<*>,85
5,HBM brightnessOut =<*>,85
6,"Animating brightness: target=<*>, rate=<*>",85
7,<*>: caller <*> does not hold <*>; <*>,77
8,"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>",69
9,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>=<*>",60
10,<*> overlap:<*>,59
11,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>",39
12,<*> running ...,37
13,shouldBlockLocation ret:<*>,37
14,"Releasing suspend blocker ""<*>"".",33
15,"Acquiring suspend blocker ""<*>"".",33
16,"<*> isOverlap:<*>, getTopPadding=<*>, Translation=<*>",26
17,<*>: caller <*> does not hold <*>; limiting output,26
18,<*>...,25
19,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",23
20,"cancelNotification,index:<*>",22
21,<*>(<*>),21
22,cancelPeek: <*>,20
23,"Skipping, withExcluded: <*>, tr.intent:Intent { flg=<*> cmp=<*> (has extras) }",20
24,"cancelNotificationWithTag pid <*>,uid = <*>,tag = <*>,pkg =<*>,id =<*>",20
25,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>"", ws=<*>, uid=<*>, pid=<*>",19
26,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>",19
27,interceptKeyTq keycode=<*> interactive=<*> keyguardActive=<*> policyFlags=<*> down <*> canceled <*>,14
28,"interceptKeyBeforeQueueing: key <*> , result : <*>",14
29,"Skipping, withExcluded: <*>, tr.intent:Intent { flg=<*> cmp=<*> bnds=[<*>,<*>][<*>,<*>] }",14
30,"getRecentTasks: num=<*>,flags=<*>,totalTasks=<*>",14
31,getRecentTasks: topActivity=ComponentInfo{$<*>/$<*>},14
32,Destroying surface Surface(name=<*>) called by <*>,13
33,"overlapAmount:<*>, previousNotificationEnd:<*>, newYTranslation:<*>, location:<*>, i:<*>, getTopPadding:<*>, getLocationOnScreen():<*>",13
34,"state.clipTopAmount:<*>, i:<*>",13
35,"updateNotificationShade: total=<*>, active=<*>",13
36,"Skipping, withExcluded: <*>, tr.intent:Intent { act=<*> flg=<*> cmp=<*> (has extras) }",13
37,getTasks: caller <*> does not hold <*>; limiting output,12
38,<*> called,10
39,playSoundEffect effectType: <*>,10
40,<*> runInThread <*>,9
41,getLastAudibleStreamVolume treamType: <*>,9
42,"animateCollapsePanels:flags=<*>, force=<*>, delayed=<*>, mExpandedVisible=<*>",8
43,"<*>,<*>",7
44,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",6
45,"updateLightsLocked,mInCall =<*>,mScreenOn = <*>,ledNotification == <*>",6
46,updateDimmedActivatedHideSensitive overlap:<*>,6
47,The change in <*> caused us to need to do a <*> begin,6
48,The change in <*> caused us to need to do a <*> end,6
49,cleanUpApplicationRecord -- <*>,6
50,"cleanUpApplicationRecordLocked, reset pid: <*>, euid: <*>",6
51,<*> record.mWifiDisplayScanRequested=<*>,6
52,"Skipping, withExcluded: <*>, tr.intent:Intent { act=<*> dat=<*> flg=<*> cmp=<*> (has extras) }",6
53,<*>.getValue is <*>,5
54,stopWifiDisplayScanLocked mWifiDisplayScanRequestCount=<*>,5
55,Destroying surface Surface(name=<*>) called by <*> <*> <*> <*> <*> <*> <*>,5
56,<*> calling app is <*>,4
57,"onInterceptTouchEvent MotionEvent { action=<*>, actionButton=<*>, id[<*>]={id[<*>]}, x[<*>]={x[<*>]}, y[<*>]={y[<*>]}, toolType[<*>]={toolType[<*>]}, buttonState=<*>, metaState=<*>, flags=<*>, edgeFlags=<*>, pointerCount=<*>, historySize=<*>, eventTime=<*>, downTime=<*>, deviceId=<*>, source=<*> }, mBlockTouches=<*>",4
58,"Taking screenshot from Surface with crop:[<*>], width:[<*>], height:[<*>], minLayer:[<*>], maxLayer:[<*>], inRotation:[<*>], rot:[<*>]",4
59,"Skipping, withExcluded: <*>, tr.intent:Intent { act=android.intent.action.VIEW dat=<*> typ=<*> flg=<*> cmp=<*> (has extras) }",4
60,makeExpandedInvisible: mExpandedVisible=<*>,4
61,"ActivityManagerService,<*>,callingPid = <*>",4
62,"<*>, pid: <*>, restart: <*>",4
63,received broadcast <*>,4
64,"rotationForOrientationLw(orient=<*>, last=<*>); user=<*> USER_ROTATION_LOCKED",3
65,"Application requested orientation <*>, got rotation <*> which has compatible metrics",3
66,disable: < expand {ICONS*} alerts {SYSTEM_INFO*} back home recent clock navigationbar search quick_settings >,3
67,<*> not in <*>.,3
68,<*>: <*>,3
69,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=WorkSource{<*>}, uid=<*>, pid=<*>",3
70,disable: < <*> >,3
71,Received <*> alarm; <*>,3
72,scheduleTimeTickEvent triggerAtTime = <*>,3
73,Destroying surface Surface(name=<*>) called by <*> com.android.server.wm.WindowStateAnimator.destroySurface:<*> com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:<*> com.android.server.wm.WindowState.destroyOrSaveSurface:<*> com.android.server.wm.WindowSurfacePlacer.performSurfacePlacementInner:<*> com.android.server.wm.WindowSurfacePlacer.performSurfacePlacementLoop:<*> com.android.server.wm.WindowSurfacePlacer.performSurfacePlacement:<*> com.android.server.wm.WindowManagerSe,3
74,"Skipping, withExcluded: <*>, tr.intent:Intent { act=<*> dat=<*> typ=<*> flg=<*> cmp=<*> (has extras) }",3
75,<*> <*> <*>,3
76,Skipping AppWindowToken{<token>} -- going to hide,2
77,<*> is <*>,2
78,"onTouchEvent::<*>, x=<*>, y=<*>",2
79,"flingToHeight: vel=<*>, expand=<*>, target=<*>, collapseSpeedUpFactor=<*>, expandBecauseOfFalsing=<*>",2
80,*** unregister callback for <*>,2
81,"ActivityRecord info: ActivityInfo{<activityInfo>}, euid: <euid>",2
82,"<*>,<*>,callingUid = <*>,callingPid = <*>",2
83,cancelNotificationLocked:<*>|<*>|<*>|<*>|<*>,2
84,"cancelNotificationLocked,remove =<*>",2
85,applyOptionsLocked: Unknown animationType=<*>,2
86,removeNotification:<*>|<*>|<*>|<*>|<*>,2
87,setWiredDeviceConnectionState type: <*> state: <*>,2
88,getDevicesForStream streamType: <*>,2
89,"sending alarm Alarm{$<*> type $<*> when $<*> PendingIntent{$<*>: PendingIntentRecord{$<*> android broadcastIntent}}},repeatInterval = $<*>,listenerTag =$<*>",2
90,"sending alarm Alarm{<id> type <type> when <timestamp> PendingIntent{<pendingIntentId>: PendingIntentRecord{<recordId> <packageName> <intentType>}}},repeatInterval = <repeatInterval>,listenerTag =<listenerTag>",2
91,"cleanUpApplicationRecordLocked, pid: <*>, restart: <*>",2
92,Destroying surface Surface(name=<*>/<*>) called by <*>,2
93,enqueueNotificationInternal: n.getKey = <*>|<*>|<*>|<*>|<*>,2
94,addNotification key=<*>|<*>|<*>|<*>|<*>,2
95,Marking notification as seen <*>|<*>|<*>|<*>|<*>,2
96,START u0 {act=<action> cat=<category> flg=<flags> cmp=<component> bnds=<bounds>} from uid <uid> on display <display>,2
97,"ACTIVITY check resid: <*>, size=<*>",2
98,"Skipping, withExcluded: <*>, tr.intent:<*>",2
99,<*> is blocked by permission manager . callingPackage = <*>,2
100,RefreshBatteryInfo isBatteryLow: <*>,2
