,EventTemplate,Occurrences
0,{component} cache parity error {action},23
1,{number} double-{vehicle} alignment {issue},3
2,{timestamp} {event_type} alignment exceptions,4
3,{number} double-{vehicle} alignment exceptions,2
4,"CE sym {symbol}, at {memory_address}, mask {mask}",47
5,ciod: failed to read message prefix on control stream (CioStream socket to {ip_address}:{port},3
6,"CE sym {value1}, at {address}, mask {mask}",6
7,generating core.{core_id},231
8,generating core.{core_number},87
9,generating core.{process_id},381
10,generating {core}.201,1
11,generating core.{errorCode},5
12,force load/store alignment...............{alignment},2
13,"CE sym {symbol}, at {address}, mask {mask}",1
14,{component} cache {error_type} corrected,1
15,{error_type} cache {error_description} corrected,15
16,ciod: cpu {cpu_number} at treeaddr {tree_address} sent unrecognized message {message},1
17,generating core.{year},3
18,ciod: {ACTION} chdir({DIRECTORY}) failed: {ERROR},15
19,"{count} ddr errors(s) detected and corrected on rank {rank}, symbol {symbol}, bit {bit}",9
20,data {1} error interrupt,31
21,data {error_type} interrupt,5
22,data {type} error interrupt,2
23,data {process} error {type},5
24,data {component} error {type},15
25,{type} TLB error interrupt,2
26,"CE sym {num}, at {address}, mask {mask}",10
27,ciod: Message code {code} is not {value1} or {value2},1
28,{category} {action},5
29,{type} storage {action},21
30,instruction address: {address},21
31,{interrupt},3
32,data address: {address},8
33,machine check: {component}......................{error_code},4
34,program interrupt: {cause}......{code},8
35,{type},6
36,machine check: {error_type}......................{error_code},1
37,exception syndrome register: {register_value},5
38,exception syndrome register: {exception_code},1
39,data store interrupt caused by {cause},10
40,program interrupt: {cause}...{error_code},1
41,program interrupt: {cause}...{code},4
42,program interrupt: {cause} instruction.........{code},1
43,program interrupt: {reason}......{code},4
44,{operation} operation.............................{number},1
45,{operation}.............................{count},1
46,machine state register: {state},4
47,"problem state ({state}=sup,{state}=usr).......0",3
48,{action},3
49,{component}.........................{value},5
50,machine check {action}..............{status},2
51,floating pt ex mode {mode} enable......{enable},3
52,program interrupt: {error_message}.{error_code},2
53,{log_level} interrupt enable............{value},1
54,floating pt ex mode {mode} enable......{value},2
55,{error_message}.....................{error_code},2
56,data address space................{address},5
57,core configuration register: {register_value},7
58,program interrupt: {reason} update.............{code},1
59,{action} instruction cache block touch.{number},2
60,program interrupt: {reason} cr field {field_value},4
61,guaranteed {data} cache block touch........{number},1
62,icache prefetch depth....................{depth},1
63,icache prefetch threshold................{threshold},2
64,{action} state enable.................{value},1
65,{severity} input interrupt enable...{code},1
66,{message}.....{value},1
67,: ,1
68,lr:{lr_value} cr:{cr_value} xer:{xer_value} ctr:{ctr_value},1
69,{module} internal error,1
70,debug {action} enable.................{value},2
71,instruction address space.........{address},1
72,{action} store gathering..................{status},3
73,total of {count} ddr error(s) detected and corrected,10
74,generating core.{version},4
75,{error_type} cache parity error {correction_status},3
76,"CE sym {num1}, at {address}, mask {mask}",13
77,ciod: Error loading {file_path}: {error_message},45
78,ciod: Error creating node map from file {file_path}: {error_message},2
79,generating core.{port},3
80,{timestamp} {event_type} {description},7
81,{id} double-hummer alignment exceptions,42
82,{number} double-hummer alignment exceptions,7
83,{number} double-{word} alignment exceptions,1
84,{timestamp} double-hummer alignment exceptions,19
85,{timestamp} {error_code} {error_description},3
86,"CE sym {number}, at {address}, mask {mask}",10
87,"ciod: Error loading {file_path}: invalid or missing program image, {error_message}",10
88,{program} interrupt,3
89,program interrupt: {cause}......{error_code},1
90,{Node},6
91,ciod: Error creating node map from file {file_path}: Bad file descriptor,1
92,Ido chip status changed: {chip_id} ip={ip_address} v={version} t={type} status={status} {timestamp},5
93,Can not get assembly information for {node},6
94,{id} {type} alignment exceptions,2
95,{number} double-{string} alignment exceptions,3
96,{number} double-{string} alignment {string},2
97,{id} double-{vehicle} alignment {issue},1
98,{id} double-{vehicle_type} alignment {issue},1
99,{id} {type} alignment {issue},1
100,generating {core}.404,1
101,ciod: Missing or invalid fields on line {line_number} of node map file {file_path},2
102,{count} torus receiver {direction} input pipe error(s) (dcr {error_code}) detected and corrected,2
103,{timestamp} double-{vehicle_type} alignment {error_type},1
104,ciod: duplicate canonical-rank {canonical_rank} to logical-rank {logical_rank} mapping at line {line_number} of node map file {file_path},1
105,ciod: Error creating node map from file {file_path}: Block device required,1
106,generating core.{pid},4
107,timestamp,3
108,{module} panic! - stopping execution,2
109,total of {number} ddr error(s) detected and corrected,3
110,{timestamp} {event_type} {event_description},2
111,{timestamp} {request_id} double-hummer alignment exceptions,2
112,generating {core}.2010,1
113,ciod: Z coordinate {z_coordinate} exceeds physical dimension {physical_dimension} at line {line_number} of node map file {file_path},1
114,"{num_errors} ddr errors(s) detected and corrected on rank {rank}, symbol {symbol}, bit {bit}",8
115,"rts: kernel terminated for reason {reason}rts: bad message header: invalid cpu, type={type}, cpu={cpu}, index={index}, total={total}",1
116,{count},49
117,{count} floating point alignment exceptions,25
118,{number} floating point alignment exceptions,26
119,{code} floating point alignment exceptions,9
120,{code},2
121,New {device} inserted into the database: {id} ip={ip_address} v={version} t={type},1
122,New ido chip inserted into the database: {chip_id} ip={ip_address} v={version} t={type},2
123,{Component},1
124,"Node card status: {status} 0, {status} 1, {status} 2, {status} 3 is (are) active. Clock Mode is {mode}. Clock Select is {select}. Phy JTAG Reset is {phy_reset}. ASIC JTAG Reset is {asic_reset}. Temperature Mask is {temp_mask}. No temperature error. Temperature Limit Error Latch is {temp_error_latch}. PGOOD is {pgood}. PGOOD error latch is {pgood_error_latch}. MPGOOD is {mpgood}. MPGOOD error latch is {mpgood_error_latch}. The 2.5 volt rail is {rail_2.5v}. The 1.5 volt rail is {rail_1.5v}.",1
125,"Node card VPD check: {node} node in processor card slot {slot} do not match. VPD ecid {ecid}, found {found}",1
126,"
{idoproxydb} hit ASSERT condition: ASSERT expression={0} Source file={idotransportmgr.cpp} Source line={1043} Function={int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)}
",8
127,"
{idoproxydb} hit ASSERT condition: ASSERT expression=0 Source file={idotransportmgr.cpp} Source line={1043} Function={int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)}
",3
128,"
{idoproxydb} hit ASSERT condition: ASSERT expression={expression} Source file={source_file} Source line={source_line} Function={function}
",10
129,"
idoproxydb hit ASSERT condition: ASSERT expression={expression} Source file={source_file} Source line={source_line} Function={function}
",5
130,Node card status: {alertStatus}. Clock Mode is {clockMode}. Clock Select is {clockSelect}. Phy JTAG Reset is {phyJtagReset}. ASIC JTAG Reset is {asicJtagReset}. Temperature Mask is {temperatureMask}. Temperature error: {temperatureError}. Temperature Limit Error Latch is {temperatureLimitErrorLatch}. PGOOD IS {pgoodStatus}. PGOOD ERROR LATCH IS {pgoodErrorLatch}. MPGOOD IS {mpgoodStatus}. MPGOOD ERROR LATCH IS {mpgoodErrorLatch}. The 2.5 volt rail is {voltRail2_5}. The 1.5 volt rail is {voltRail1_5}.,3
131,"Node card VPD check: {node} node in processor card slot {slot} do not match. VPD ecid {ecid}, found {found_ecid}",4
