,EventTemplate,Occurrences
0,authentication failure; logname= {logname} uid={uid} euid={euid} tty={tty} ruser={ruser} rhost={rhost},75
1,{action} pass; user {status},44
2,authentication failure; logname={logname} uid={uid} euid={euid} tty={tty} ruser={ruser} rhost={rhost},43
3,authentication failure; logname= {logname} uid={uid} euid={euid} tty={tty} ruser={ruser} rhost={rhost}  user={user},233
4,authentication failure; logname= {logname} uid={uid} euid={euid} tty={tty} ruser={ruser} rhost={rhost} user={user},120
5,authentication failure; logname={logname} uid={uid} euid={euid} tty={tty} ruser={ruser} rhost={rhost} user={user},19
6,session opened for user {username} by (uid={uid}),122
7,session closed for user {username},123
8,ALERT exited abnormally with [{errorCode}],43
9,check pass; user {status},73
10,connection from {ip_address} ({hostname}) at {timestamp},199
11,User {username} timed out after {timeout} seconds at {timestamp},1
12,{service} shutdown {result},6
13,{service},7
14,{action}.,7
15,connection from {ip_address} () at {timestamp},453
16,Received SNMP packet(s) from {source_ip},1
17,connection from {ip_address} () at {date_time},51
18,connection from {ip_address} ({}) at {timestamp},19
19,connection from {sourceIP} ({username}) at {timestamp},4
20,connection from {sourceIP} () at {timestamp},10
21,connection from {ip_address} ({username}) at {timestamp},25
22,connection from {source_ip} ({username}) at {timestamp},28
23,connection from {source_ip} () at {timestamp},23
24,Authentication failed from {sourceIP} ({sourceIP}): {reason} in replay cache code,7
25,{AuthenticationType},22
26,Authentication failed from {sourceIP} ({sourceIP}): {reason},14
27,Authentication failed from {sourceIP} ({sourceIP}): {errorMessage},2
28,{AuthenticationMethod},1
29,connection from {ip_address} ({host_name}) at {timestamp},91
30,connection from {ip_address} () at {day_of_week} {month} {day} {hour}:{minute}:{second} {year},1
31,*** info [{file}(1766)]:,1
32,: Auto-detected {device} {interface},1
33,session opened for user {username} by LOGIN(uid={uid}),1
34,{username} LOGIN ON {terminal},1
35,removing device node '{device_node}',4
36,creating device node '{device_node}',4
37,connection from {ip_address} ({host}) at {timestamp},3
38,{Error},1
39,connection from {ip_address} ({}) at {date_time},2
40,"ANONYMOUS FTP LOGIN FROM {ip_address},  ({username})",2
41,notify {entity} section contains no {record_type},16
42,{function} ({service}): {error_message},2
43,{action} (ftpd): {error_message},2
44,warning: can't get {client} address: {error},2
45,{program} startup {status},1
46,"klogd {version}, log source = {source} started.",1
47,Linux version {kernel_version} ({compiler_info}) (gcc version {gcc_version} {gcc_date} ({gcc_os_version})) #{build_number} {build_date},1
48,{log_message},1
