,EventTemplate,Occurrences
0,<*>,776
1,"<*>,<*> ""<*> <*> <*>"" status: <*> len: <*> time: <*>",142
2,image <*> at (<*>): checking,82
3,"image <*> at (<*>): in use: on this node <*> local, <*> on other nodes sharing this instance storage",82
4,Active base files: <*>,82
5,"<*>,<*> ""GET <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>",61
6,[instance: <*>] VM Resumed (Lifecycle Event),44
7,[instance: <*>] <*>,40
8,[instance: <*>] During sync_power_state the instance has a pending task (<*>). Skip.,32
9,Unknown base file: <*>,30
10,Removable base files: <*>,30
11,[instance: <*>] VM Started (Lifecycle Event),22
12,[instance: <*>] VM Paused (Lifecycle Event),22
13,[instance: <*>] Took <*> seconds to spawn the instance on the hypervisor.,22
14,[instance: <*>] Took <*> seconds to build instance.,22
15,[instance: <*>] Instance destroyed successfully.,22
16,[instance: <*>] Deleting instance files <*>,21
17,[instance: <*>] Took <*> seconds to destroy the instance on the hypervisor.,21
18,[instance: <*>] Took <*> seconds to deallocate network for instance.,21
19,Removing base or swap file: <*>,21
20,HTTP exception thrown: <*>,21
21,"[instance: <*>] Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",21
22,"[instance: <*>] Total memory: <*> MB, used: <*> MB",21
23,"[instance: <*>] disk limit not specified, defaulting to unlimited",21
24,"[instance: <*>] vcpu limit not specified, defaulting to unlimited",21
25,[instance: <*>] VM Stopped (Lifecycle Event),21
26,[instance: <*>] Instance spawned successfully.,20
27,"[instance: <*>] Total vcpu: <*> VCPU, used: <*> VCPU",19
28,Creating event <*> for instance <*>,17
29,"[instance: <*>] Total disk: <*> GB, used: <*> GB",16
30,Auditing locally available compute resources for node <*>,15
31,"Total usable vcpus: <*>, total allocated vcpus: <*>",15
32,Final resource view: name=<*> phys_ram=<*> used_ram=<*> phys_disk=<*> used_disk=<*> total_vcpus=<*> used_vcpus=<*> pci_stats=<*>,15
33,[instance: <*>] <*> instance,15
34,[instance: <*>] Deletion of <*>/<*>_del complete,15
35,"<*> ""<*> <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>",14
36,"[instance: <*>] memory limit: <*> MB, free: <*> MB",14
37,Compute_service record updated for <*>,13
38,"""<*> <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>",12
39,[instance: <*>] Claim successful,9
40,Base or swap file too young to remove: <*>,9
41,"instance: <*> memory limit: <*> MB, free: <*> MB",7
42,[instance: <*>] Deletion of <*> complete,6
43,During <*> the instance has a pending task (<*>). Skip.,5
44,Creating event network-vif-plugged:<*> for instance <*>,5
45,The instance sync for host '<*>' did not match. Re-created its InstanceList.,5
46,"<*> ""<*> <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>""",4
47,"""<*> <*> <*>"" status: <*> len: <*> time: <*>",3
48,"[instance: <*>] Total disk: <*>, used: <*>",3
49,"<*>,<*> ""<*> <*> <*>"" status: <*> len: <*> time: <*>""",3
50,During sync_power_state the instance has a pending task (<*>). Skip.,3
51,During <*> the <*> has a pending task (<*>). Skip.,3
52,Successfully synced instances from host '<*>'.,2
53,Compute_service record updated for <*>: <*>,2
54,"<*>,<*> ""<*> <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>",2
55,"instance: <*> Total vcpu: <*> VCPU, used: <*> VCPU",2
56,[instance: <*>] Creating image,2
57,Running instance usage audit for host <*> from <*> to <*>. <*> instances.,1
58,"instance: <*> Total disk: <*>, used: <*>",1
59,"While synchronizing instance power states, found <*> instances in the database and <*> instances on the hypervisor.",1
60,"instance: <*> Total disk: <*> GB, used: <*> GB",1
