,EventTemplate,Occurrences
0,{protocol},207
1,{proxy},207
2,"{host}:{port} close, {sent} bytes sent, {received} bytes received, lifetime {lifetime}",147
3,"{host}:{port} close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime <{lifetime} sec}",27
4,"{host}:5070 close, {sent} bytes sent, {received} bytes ({received_kb} KB) received, lifetime <{lifetime} sec>",7
5,"{host}:{port} close, {sent_bytes} bytes sent, {received_bytes} bytes ({received_kb} KB) received, lifetime <{lifetime} sec>",16
6,"{host}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",159
7,"{host}:{port} close, {sent} bytes sent, {received} bytes received, lifetime <{lifetime} sec}",14
8,"{host}:5070 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",49
9,"{host}:5070 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime <{lifetime} sec",26
10,"{host}:5070 close, {sent} bytes sent, {received} bytes ({received_kb} KB) received, lifetime {lifetime}",14
11,"{host}:{port} close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",27
12,"{host}:{port} close, {sent} bytes sent, {received} bytes received, lifetime <{lifetime} sec>",10
13,"{host}:5070 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime {duration}",5
14,"{host}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime {duration}",19
15,{source},58
16,"{host}:5070 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime <{lifetime} sec>",15
17,"{host}:5070 close, {sent} bytes sent, {received} bytes ({received_kb} KB) received, lifetime <{lifetime} sec",7
18,"{host}:{port} close, {sent} bytes sent, {received} bytes received, lifetime <{time} sec}",17
19,"{host}:5070 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime <{lifetime} sec",3
20,"{host}:5070 close, {sent} bytes sent, {received} bytes received, lifetime <{time} sec>",2
21,"{host}:5070 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime <1 sec",6
22,"{host}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime <{lifetime} sec}",1
