,EventTemplate,Occurrences
0,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",200
1,setLightsOn(<*>),181
2,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>=<*>",138
3,<*>,94
4,HBM brightnessIn =<*>,85
5,HBM brightnessOut =<*>,85
6,"Animating brightness: target=<*>, rate=<*>",85
7,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,78
8,"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>",69
9,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>",65
10,updateDimmedActivatedHideSensitive overlap:<*>,65
11,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>,userId=<*>",61
12,shouldBlockLocation ret:<*>,37
13,getTasks: caller <*> does not hold <*>; limiting output,37
14,"Releasing suspend blocker ""<*>"".",33
15,"Acquiring suspend blocker ""<*>"".",33
16,<*>...,32
17,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",25
18,"cancelNotification,index:<*>",23
19,"Skipping, withExcluded: <*>, tr.intent:Intent { flg=<*> cmp=<*> (has extras) }",21
20,shouldBlockLocation running ...,20
21,cancelPeek: <*>,20
22,"release:lock=<*>, flg=<*>, tag=""<*>"", name=""<*>"", ws=<*>, uid=<*>, pid=<*>",19
23,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>",19
24,shouldBlockLocation running <*>,16
25,"cancelNotificationWithTag pid <*>,uid = <*>,tag = <*>,pkg =<*>,id =<*>",15
26,interceptKeyTq keycode=<*> interactive=<*> keyguardActive=<*> policyFlags=<*> down <*> canceled <*>,14
27,"interceptKeyBeforeQueueing: key <*> , result : <*>",14
28,"Skipping, withExcluded: <*>, tr.intent:Intent { act=<*> flg=<*> cmp=<*> (has extras) }",14
29,"getRecentTasks: num=<*>,flags=<*>,totalTasks=<*>",14
30,Destroying surface Surface(name=<*>) called by <*>,14
31,"overlapAmount:<*>, previousNotificationEnd:<*>, newYTranslation:<*>, location:<*>, i:<*>, getTopPadding:<*>, getLocationOnScreen():<*>",13
32,"state.clipTopAmount:<*>, i:<*>",13
33,"updateNotificationShade: total=<*>, active=<*>",13
34,"Skipping, withExcluded: <*>, tr.intent:Intent { flg=<*> cmp=<*> bnds=[<*>,<*>][<*>,<*>] }",12
35,logNotificationVisibilityChanges <*> <*>,11
36,playSoundEffect effectType: <*>,10
37,getLastAudibleStreamVolume treamType: <*>,9
38,"animateCollapsePanels:flags=<*>, force=<*>, delayed=<*>, mExpandedVisible=<*>",8
39,"Skipping, withExcluded: <*>, tr.intent:Intent { act=com.android.contacts.action.CHOOSE_SUB dat=tel:<*> flg=<*> cmp=com.android.contacts/.ChooseSubActivity (has extras) }",7
40,getRecentTasks: topActivity=ComponentInfo{com.tencent.mobileqq/com.tencent.mobileqq.activity.SplashActivity},7
41,"updateLightsLocked,turn off <*>",6
42,onNotificationVisibilityChanged called,6
43,The change in <*> caused us to need to do a <*> end,6
44,cleanUpApplicationRecord -- <*>,6
45,"cleanUpApplicationRecordLocked, pid: <*>, restart: <*>",6
46,"cleanUpApplicationRecordLocked, reset pid: <*>, euid: <*>",6
47,stopWifiDisplayScanLocked record.mWifiDisplayScanRequested=<*>,6
48,stopWifiDisplayScanLocked mWifiDisplayScanRequestCount=<*>,6
49,<*> is <*>,5
50,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",5
51,getNeighboringCellInfo calling app is <*>,5
52,The change in <*> caused us to need to do a <*> begin,5
53,"cancelNotificationWithTag pid <*>,uid = <*>,tag = <*>,pkg = <*>,id =<*>",5
54,"updateLightsLocked,mInCall =<*>,mScreenOn = <*>,ledNotification == <*>",4
55,"onInterceptTouchEvent MotionEvent { action=<*>, actionButton=<*>, id[<*>]=<*>, x[<*>]=<*>, y[<*>]=<*>, toolType[<*>]=<*>, buttonState=<*>, metaState=<*>, flags=<*>, edgeFlags=<*>, pointerCount=<*>, historySize=<*>, eventTime=<*>, downTime=<*>, deviceId=<*>, source=<*> }, mBlockTouches=<*>",4
