,EventTemplate,Occurrences
0,workerEnv.init() ok {file_path},569
1,mod_jk child workerEnv in error state {error_state},523
2,jk2_init() Found child {child_pid} in scoreboard slot {slot_number},69
3,jk2_init() Found child {pid} in scoreboard slot {slot},21
4,jk2_init() Found child {child_id} in scoreboard slot {slot_number},743
5,mod_jk child workerEnv in error state {errorState},15
6,[client {ip_address}] Directory index forbidden by rule: {directory_path},23
7,[client {client_ip}] Directory index forbidden by rule: {directory_path},8
8,"
[client {ip_address}] Directory index forbidden by rule: {directory_path}
",1
9,"
jk2_init() Found child {child_id} in scoreboard slot {slot_number}
",1
10,jk2_init() Can't find child {child_id} in scoreboard,12
11,mod_jk child init {child_id} {error_code},12
12,"
jk2_init() Found child {child_pid} in scoreboard slot {slot_number}
",2
13,mod_jk child workerEnv in error state {error_code},1
