,EventTemplate,Occurrences
0,{error_type} cache parity error {correction_status},26
1,instruction {operation} parity error {correction},8
2,instruction {operation} parity error {status},7
3,{number} double-hummer alignment exceptions,43
4,{count} double-hummer alignment exceptions,1
5,"CE sym {symbol}, at {memory_address}, mask {mask}",27
6,ciod: failed to read message prefix on control stream (CioStream socket to {ip_address}:{port},2
7,"CE sym {value1}, at {value2}, mask {value3}",5
8,generating core.{core_id},176
9,generating core.{process_id},479
10,generating core.{core_number},48
11,force load/store alignment...............{alignment},2
12,"CE sym {num1}, at {address}, mask {mask}",14
13,{error_type} cache parity error {correction},1
14,ciod: cpu {cpu_number} at treeaddr {tree_address} sent unrecognized message {message_code},1
15,generating core.{year},3
16,ciod: LOGIN chdir({directory}) failed: {error},12
17,"
CE sym {number}, at {memory_address}, mask {mask_value}
",3
18,"{number} ddr errors(s) detected and corrected on rank {number}, symbol {number}, bit {number}",12
19,"CE sym {number}, at {address}, mask {mask}",8
20,generating core.{port},4
21,data {error_type} interrupt,52
22,data {errorType} interrupt,7
23,data {1} error {2},1
24,"
ciod: Message code {code} is not {value1} or {value2}
",1
25,{status} storage {action},2
26,{action} storage {issue},12
27,{status} storage interrupt,1
28,{status} storage {issue},5
29,data {placeholder} interrupt,4
30,instruction address: {address},21
31,{data},6
32,data address: {address},8
33,machine check: i-fetch......................{error_code},5
34,program interrupt: illegal instruction......{error_code},8
35,exception syndrome register: {syndrome_register},1
36,exception syndrome register: {hex_value},4
37,exception syndrome register: {register},1
38,data store interrupt caused by {cause},10
39,program interrupt: privileged instruction...{error_code},5
40,program interrupt: trap instruction.........{error_code},1
41,program interrupt: imprecise exception......{error_code},4
42,store operation{operation_number},1
43,store operation{...}1,1
44,machine state register: {state},4
45,problem state ({state}).......{value},3
46,floating point instr. enabled.....{value},4
47,auxiliary processor.........................{value},5
48,machine check enable..............{value},1
49,machine check enable..............{status},1
50,floating pt ex mode {mode} enable......{value},5
51,program interrupt: {error_message}..{error_code},1
52,debug interrupt enable............{value},1
53,byte ordering exception.....................{error_code},1
54,byte ordering exception {error_code},1
55,data address space................{address},5
56,core configuration register: {register_value},4
57,program interrupt: {error_type} exception......{error_code},1
58,program interrupt: {reason} update.............{code},1
59,guaranteed instruction cache block touch.{variable},2
60,program interrupt: fp cr field {value},3
61,program interrupt: fp cr field {variable},1
62,guaranteed data cache block touch........{number},1
63,icache prefetch depth....................{value},1
64,icache prefetch threshold................{value},2
65,wait state enable.................{value},1
66,critical input {action} enable...{value},1
67,special purpose registers: {registers},1
68,"
lr:{lr} cr:{cr} xer:{xer} ctr:{ctr}
",1
69,rts internal error,1
70,debug wait enable.................{value},2
71,instruction address space.........{address},1
72,"
core configuration register: {config_value}
",1
73,"
core configuration register: {register_value}
",2
74,disable store gathering..................{value},1
75,disable store gathering..................{status},2
76,total of {number} ddr error(s) detected and corrected,4
77,generating core.{code},1
78,generating core.{version},2
79,"
ciod: failed to read message prefix on control stream (CioStream socket to {ip_address}:{port})
",1
80,"ciod: Error loading {file_path}: invalid or missing program image, {error_message}",28
81,"
ciod: Error creating node map from file {file_path}: No child processes
",1
82,"
CE sym {symbol}, at {memory_address}, mask {mask}
",12
83,ciod: Error loading {file_path}: {error_message},13
84,{timestamp} double-hummer alignment exceptions,44
85,"CE sym {number}, at {memory_address}, mask {mask}",10
86,{id} double-hummer alignment exceptions,17
87,"
ciod: Error loading {file_path}: invalid or missing program image, {error_message}
",13
88,"
CE sym {num1}, at {address}, mask {mask}
",1
89,{program_name} interrupt,3
90,"
program interrupt: {error_message}..{error_code}
",1
91,Node {nodeName} is not fully functional,5
92,generating core.{dynamic_variable},3
93,ciod: Error creating node map from file {file_path}: Bad file descriptor,1
94,Ido chip status changed: {chip_id} ip={ip_address} v={version} t={type} status={status} {timestamp},3
95,Can not get assembly information for node {node},2
96,{id} double-hummer alignment {errorType},1
97,{number} double-{vehicle} alignment {issue},3
98,generating core.{errorCode},1
99,generating core.{error_code},1
100,ciod: Missing or invalid fields on line {line_number} of node map file {file_path},2
101,{number} torus receiver {direction} input pipe error(s) (dcr {code}) detected and corrected,1
102,ciod: duplicate canonical-rank {rank1} to logical-rank {rank2} mapping at line {line} of node map file {file},1
103,ciod: Error creating node map from file {file_path}: Block device required,1
104,generating core.{id},2
105,rts panic! - stopping execution,2
106,total of {count} ddr error(s) detected and corrected,9
107,"CE sym {num1}, at {address}, mask {num2}",1
108,"
ciod: Error creating node map from file {file_path}: {error_message}
",1
109,ciod: Z coordinate {z_coordinate} exceeds physical dimension {physical_dimension} at line {line_number} of node map file {file_path},1
110,generating core.{variable},1
111,"rts: kernel terminated for reason {reason}rts: bad message header: invalid cpu, type={type}, cpu={cpu}, index={index}, total={total}",1
112,{number} floating point alignment exceptions,102
113,{error_code} floating point alignment exceptions,14
114,"
New ido chip inserted into the database: {ido_chip} ip={ip_address} v={version} t={type}
",1
115,New ido chip inserted into the database: {ido_chip_id} ip={ip_address} v={version} t={type},1
116,{ComponentName} is not fully functional,1
117,"
Node card status: {ALERT 0}, {ALERT 1}, {ALERT 2}, {ALERT 3} is (are) active. Clock Mode is {Clock Mode}. Clock Select is {Clock Select}. Phy JTAG Reset is {Phy JTAG Reset}. ASIC JTAG Reset is {ASIC JTAG Reset}. Temperature Mask is {Temperature Mask}. No temperature error. Temperature Limit Error Latch is {Temperature Limit Error Latch}. PGOOD is {PGOOD}. PGOOD error latch is {PGOOD error latch}. MPGOOD is {MPGOOD}. MPGOOD error latch is {MPGOOD error latch}. The 2.5 volt rail is {2.5 volt rail}. The 1.5 volt rail is {1.5 volt rail}.
",1
118,"
Node card VPD check: {node} node in processor card slot {slot} do not match. VPD ecid {ecid}, found {found}
",1
119,Can not get assembly information for {node},3
120,New ido chip inserted into the database: {chip_id} ip={ip_address} v={version} t={type},1
121,idoproxydb hit ASSERT condition: ASSERT expression={expression} Source file={source_file} Source line={source_line} Function={function},33
122,"
Node card status: {alertStatus}. Clock Mode is {clockMode}. Clock Select is {clockSelect}. Phy JTAG Reset is {phyJtagReset}. ASIC JTAG Reset is {asicJtagReset}. Temperature Mask is {temperatureMask}. {temperatureError}. Temperature Limit Error Latch is {temperatureLimitErrorLatch}. PGOOD IS {pgoodStatus}. PGOOD ERROR LATCH IS {pgoodErrorLatch}. MPGOOD IS {mpgoodStatus}. MPGOOD ERROR LATCH IS {mpgoodErrorLatch}. The 2.5 volt rail is {2.5voltStatus}. The 1.5 volt rail is {1.5voltStatus}.
",1
123,"
Node card VPD check: {node} node in processor card slot {slot} do not match. VPD ecid {ecid}, found {found_ecid}
",8
