,EventTemplate,Occurrences
0,"10.11.10.1 ""GET /v2/{server_id}/servers/detail HTTP/1.1"" status: {status_code} len: {response_length} time: {response_time}",322
1,"
{ip} ""{method} {path} {protocol}"" status: {status} len: {length} time: {response_time}
",101
2,"10.11.10.1 ""GET /v2/{id}/servers/detail HTTP/1.1"" status: {status} len: {length} time: {time}",123
3,"{ip_address} ""{http_method} {url} HTTP/1.1"" status: {status_code} len: {response_length} time: {response_time}""",4
4,"10.11.10.1 ""GET /v2/{placeholder}/servers/detail HTTP/1.1"" status: {placeholder} len: {placeholder} time: {placeholder}",115
5,[instance: {instance_id}] VM Started (Lifecycle Event),16
6,[instance: {instance_id}] VM Paused (Lifecycle Event),19
7,During sync_power_state the instance has a pending task ({task}). Skip.,40
8,image {image_id} at ({file_path}): checking,82
9,"image {image_id} at ({file_path}): in use: on this node {local_count} local, {other_count} on other nodes sharing this instance storage",80
10,"
Active base files: /var/lib/nova/instances/_base/{file_id}
",15
11,"{ip_address} ""{http_method} {endpoint} HTTP/1.1"" status: {status_code} len: {response_length} time: {response_time}""",1
12,Creating event network-vif-plugged:{vif_id} for instance {instance_id},20
13,"{ip_address} ""{http_method} {url} HTTP/1.1"" status: {status_code} len: {response_length} time: {response_time}",26
14,[instance: {instance_id}] VM Resumed (Lifecycle Event),37
15,[instance: {instance_id}] Instance spawned successfully.,15
16,"
Log template: [instance: {instance_id}] Took {time} seconds to spawn the instance on the hypervisor.
",1
17,"
[instance: {instance_id}] Took {time} seconds to build instance.
",20
18,Active base files: /var/lib/nova/instances/_base/{file_id},67
19,"
Auditing locally available compute resources for node {node_name}
",9
20,"Total usable vcpus: {total_usable_vcpus}, total allocated vcpus: {total_allocated_vcpus}",15
21,"
Final resource view: name={name} phys_ram={phys_ram} used_ram={used_ram} phys_disk={phys_disk} used_disk={used_disk} total_vcpus={total_vcpus} used_vcpus={used_vcpus} pci_stats={pci_stats}
",15
22,"
Compute_service record updated for {server_name}
",9
23,"${ip_address},${server_ip} ""GET {url} HTTP/1.1"" status: {status_code} len: {content_length} time: {response_time}",22
24,"${ip_address},${ip_address} ""GET {url} HTTP/1.1"" status: {status_code} len: {content_length} time: {response_time}",86
25,"
{client_ip},{server_ip} ""GET {request_url} HTTP/1.1"" status: {http_status} len: {response_length} time: {response_time}
",4
26,"10.11.10.1 ""DELETE /v2/{uuid}/servers/{server_id} HTTP/1.1"" status: {status_code} len: {length} time: {response_time}",14
27,"{client_ip},{server_ip} ""GET {url} HTTP/1.1"" status: {status_code} len: {response_length} time: {response_time}",3
28,[instance: {instance_id}] Terminating instance,20
29,[instance: {instance_id}] Instance destroyed successfully.,11
30,"${ip_address},${ip_address} ""GET {url} HTTP/1.1"" status: {status_code} len: {response_length} time: {response_time}",2
31,[instance: {instance_id}] Deleting instance files {file_path},6
32,"
Log template: [instance: {instance_id}] Deletion of {file_path}_del complete
",1
33,"
[instance: {instance_id}] Took {time} seconds to destroy the instance on the hypervisor.
",13
34,"
[instance: {instance_id}] Took {time} seconds to deallocate network for instance.
",18
35,"
Unknown base file: /var/lib/nova/instances/_base/{file_id}
",15
