,EventTemplate,Occurrences
0,"
{source}:5070 open through proxy {proxy} HTTPS
",410
1,{source},16
2,"
{host}:{port} close, {sent} bytes sent, {received} bytes received, lifetime {duration}
",68
3,"
{host}:{port} close, {sent_bytes} bytes sent, {received_bytes} bytes received, lifetime <{lifetime} sec>
",16
4,{source_host}:{source_port} open through proxy {proxy_host}:{proxy_port} {protocol},134
5,"
{host}:5070 open through proxy {proxy} HTTPS
",6
6,"
{host}:5070 close, {sent} bytes sent, {received} bytes ({received_kb} KB) received, lifetime <{lifetime} sec>
",9
7,"
{host}:{port} close, {sent_bytes} bytes sent, {received_bytes} bytes ({received_kb} KB) received, lifetime <{lifetime} sec>
",18
8,"
{host}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {duration}
",69
9,"
{host}:{port} close, {sent} bytes sent, {received} bytes received, lifetime <{time} sec>
",22
10,"
{host}:5070 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {duration}
",28
11,"
{host}:5070 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime <{lifetime} sec>
",19
12,"
{host}:{port} close, {sent_bytes} bytes sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {duration}
",56
13,"
{host}:5070 close, {sent} bytes sent, {received} bytes received, lifetime {time}
",12
14,"
{proxy_server}:5070 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime <{lifetime} sec>
",1
15,"
{proxy}:5070 close, {sent} bytes sent, {received} bytes received, lifetime <{lifetime} sec>
",1
16,"
{host}:5070 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime {duration}
",18
17,"
{proxy_address}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime <{lifetime} sec>
",2
18,"
{host}:5070 close, {sent_bytes} bytes sent, {received_bytes} bytes ({received_kb} KB) received, lifetime <{lifetime} sec>
",2
19,"
{host}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime {duration}
",46
20,"
{host}:5070 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime <{lifetime} sec>
",13
21,{protocol},28
22,"
proxy.{hostname}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime <{lifetime} sec>
",3
23,"
{proxy_address}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime <{lifetime} sec>
",5
24,"
{host}:{port} close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime <{lifetime} sec>
",4
25,"
{host}:5070 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}
",25
26,"
{host}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime <{lifetime} sec>
",2
27,"
{proxy}:5070 close, {sentBytes} bytes ({sentKB} KB) sent, {receivedBytes} bytes ({receivedKB} KB) received, lifetime <{lifetime} sec>
",2
28,"
{proxy_server}:5070 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime <{lifetime} sec>
",4
29,"
{proxy}:5070 close, {sent} bytes sent, {received} bytes received, lifetime <{time} sec>
",4
30,"
{host}:{port} close, {sent_bytes} bytes sent, {received_bytes} bytes received, lifetime <{duration} sec>
",3
31,"
{host}:{port} close, {bytesSent} bytes sent, {bytesReceived} bytes received, lifetime {duration}
",8
32,"
{proxy_address}:{proxy_port} close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime <{lifetime} sec>
",1
