,EventTemplate,Occurrences
0,<*> open through proxy <*> <*>,456
1,<*> open through proxy <*> HTTPS,425
2,"<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",225
3,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",218
4,"<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",109
5,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*> sec>",89
6,"<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>",88
7,<*>,58
8,"<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*> sec>",31
9,"<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*> sec>",30
10,<*> error : A connection request was canceled before the completion.,27
11,"<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*> sec>",21
12,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*> sec",14
13,"<*> error : <*> - Proxy server cannot establish a connection with the target, status code <*>",14
14,<*> error : Could not connect to proxy <*> - Could not resolve proxy <*> error <*>,11
15,<*> error : <*> - connection attempt failed with error <*>,11
16,"api.github.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",10
17,"<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> MB) received, lifetime <*>",9
18,"client-<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",9
19,"www.evernote.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",9
20,<*> error : Could not connect to proxy <*> - connection attempt failed with error <*>,8
21,<*> client-channel.google.com:<*> error : Could not connect to proxy <*> - connection attempt failed with error <*>,7
22,client-<*> open through proxy <*> <*>,6
23,<*> error : Could not connect to proxy <*> - Could not resolve <*> error <*>,6
24,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*> sec}",5
25,"info.<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",4
26,"proxy.<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*> sec>",3
27,<*> error : <*>,3
28,"proxy.<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",3
29,"<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>",3
30,"block.dropbox.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*> sec>",3
31,"client-<*> close, <*> bytes sent, <*> bytes received, lifetime <*> sec>",3
32,<*> error : <*> - Proxy closed the connection unexpectedly.,2
33,"www.<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",2
34,www.<*> open through proxy <*> <*>,2
35,"www.<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",2
36,app.<*> open through proxy <*> <*>,2
37,video.<*>.com:<*> open through proxy <*> <*>,2
38,"zhihu-web-analytics.zhihu.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",2
39,"user-<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",2
40,"f-log-extension.grammarly.io:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",2
41,"d.dropbox.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",2
42,"<*> <*>, <*> bytes sent, <*> bytes received, lifetime <*> sec>",2
43,"<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <1 sec",1
44,"$<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*> sec",1
45,<*> error : Could not connect through proxy <*> - Proxy closed the connection unexpectedly.,1
46,"<*> close, <*> bytes sent, <*> bytes (<*>) received, lifetime <*> sec",1
47,"proxy.<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>",1
48,"comment.<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",1
49,api.<*> open through proxy <*> <*>,1
50,"app.<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",1
