,EventTemplate,Occurrences
0,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= %b, startingDisplayed = %b, startingMoved = %b, isRelaunching = %b",1
1,"acquire lock={lock}, flags={flags}, tag=""{tag}"", name={name}, ws={ws}, uid={uid}, pid={pid}",13
2,"ready={1},policy={2},wakefulness={3},wksummary={4},uasummary={5},bootcompleted={6},boostinprogress={7},waitmodeenable={8},mode={9},manual={10},auto={11},adj={12}userId={13}",10
3,Skipping AppWindowToken{token=Token{ActivityRecord{u0}}} -- going to hide,1
4,visible is {variable}.time.showampm,1
5,{functionName}.getValue is {value},3
6,visible is {variable},1
7,visible is {variable} gt {number},1
8,visible is system.message.count gt 0,1
9,{action}.{property} is {value},1
10,visible is {system}.{ownerinfo}.{show},1
11,{methodName}.{property} is {value},1
12,"release:lock=?, flg=?, tag=?, name=?, ws=?, uid=?, pid=?",26
13,"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",2
14,Skipping AppWindowToken{token} -- going to hide,2
15,"updateClipping isOverlap:{}, getTopPadding={}, Translation={}",65
16,updateDimmedActivatedHideSensitive overlap:{boolean},64
17,getRunningAppProcesses: caller %d does not hold %s; limiting output,73
18,setSystemUiVisibility vis=%vis% mask=%mask% oldVal=%oldVal% newVal=%newVal% diff=%diff% fullscreenStackVis=%fullscreenStackVis% dockedStackVis=%dockedStackVis% fullscreenStackBounds=%fullscreenStackBounds% dockedStackBounds=%dockedStackBounds%,8
19,cancelAutohide,15
20,"notifyUiVisibilityChanged:vis=%vis%, SystemUiVisibility=%SystemUiVisibility%",19
21,Destroying surface Surface(name=%s) called by %s:%d %s:%d %s:%d %s:%d %s:%d <bottom of call stack> <bottom of call>,1
22,Destroying surface Surface(name={}) called by {}:{} {}:{} {}:{} {}:{} {}:{} {}:{} {}:{} {}:{},1
23,"userActivityNoUpdateLocked: eventTime=?, event=?, flags=?, uid=?",69
24,"ready={ready},policy={policy},wakefulness={wakefulness},wksummary={wksummary},uasummary={uasummary},bootcompleted={bootcompleted},boostinprogress={boostinprogress},waitmodeenable={waitmodeenable},mode={mode},manual={manual},auto={auto},adj={adj},userId={userId}",49
25,"orientation change is complete, call stopFreezingDisplayLocked",1
26,Screen frozen for +1s0ms due to Window{<window_id> <package_name>/<activity_name>},1
27,startAnimation {action},1
28,startAnimation end,1
29,"ready={1},policy={2},wakefulness={3},wksummary={4},uasummary={5},bootcompleted={6},boostinprogress={7},waitmodeenable={8},mode={9},manual={10},auto={11},adj={12},userId={13}",2
30,remove({}) changed bounds; rebatching,2
31,"rotationForOrientationLw(orient=?, last=?); user=? USER_ROTATION_LOCKED",3
32,"Application requested orientation {orientation}, got rotation {rotation} which has compatible metrics",2
33,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",43
34,"ready=true,policy=?,wakefulness=?,wksummary=?,uasummary=?,bootcompleted=?,boostinprogress=?,waitmodeenable=?,mode=?,manual=?,auto=?,adj=?,userId=?",50
35,shouldBlockLocation running ...,37
36,shouldBlockLocation  ret:{boolean},37
37,getNeighboringCellInfo calling app is {calling_app},5
38,"Releasing suspend blocker ""{blocker_name}"".",14
39,HBM brightnessIn ={brightness},26
40,HBM brightnessOut ={brightnessLevel},82
41,"Animating brightness: target={}, rate={}",85
42,"ready=true,policy=3,wakefulness=1,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",43
43,suspendAutohide,23
44,interceptKeyTq keycode=%s interactive=%s keyguardActive=%s policyFlags=%s down %s canceled %s,6
45,"interceptKeyBeforeQueueing: key {key} , result : {result}",13
46,resumeSuspendedAutohide,10
47,querySoundEffectsEnabled...,17
48,"Acquiring suspend blocker ""{blockerName}"".",25
49,Skipping AppWindowToken{token=Token{ActivityRecord{u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity}}} -- going to hide,1
50,"setSystemUiVisibility vis=%d mask=%s oldVal=%s newVal=%d diff=%s fullscreenStackVis=%d dockedStackVis=%d, fullscreenStackBounds=Rect(%d, %d - %d, %d), dockedStackBounds=Rect(%d, %d - %d, %d)",3
51,Bad activity token: {activity_token},1
52,java.lang.ClassCastException: {1} cannot be cast to {2},1
53,"onTouchEvent::{action}, x={x}, y={y}",1
54,schedulePeek,1
55,getRingtonePlayer...,2
56,disable: < expand ICONS* alerts SYSTEM_INFO* back home recent clock navigationbar search quick_settings >,3
57,"updateLightsLocked,mInCall =false,mScreenOn = true,ledNotification == null?true",4
58,"updateLightsLocked,turn off notificationLight",6
59,"overlapAmount:{overlapAmount}, previousNotificationEnd:{previousNotificationEnd}, newYTranslation:{newYTranslation}, location:{location}, i:{i}, getTopPadding:{getTopPadding}, getLocationOnScreen():{getLocationOnScreen}",11
60,"state.clipTopAmount:{clipTopAmount}, i:{i}",13
61,on{Action}Started,2
62,onTrackingStarted,1
63,Destroying surface Surface(name={}) called by {}:{} {}:{} {}:{} {}:{} {}:{} {}:{},4
64,"overlapAmount:{overlapAmount}, previousNotificationEnd:{previousNotificationEnd}, newYTranslation:{newYTranslation}, location:{location}, i:{i}, getTopPadding:{getTopPadding}, getLocationOnScreen():{getLocationOnScreen()}",2
65,updateDimmedActivatedHideSensitive overlap:true,1
66,"onTouchEvent::{id}, x={x}, y={y}",1
67,cancelPeek: {cancelPeek},17
68,"flingToHeight: vel=?, expand=?, target=?, collapseSpeedUpFactor=?, expandBecauseOfFalsing=?",2
69,onTrackingStopped: {value},1
70,on{Action}Finished,1
71,Sending non-protected broadcast {broadcast_name} from system {system_id}:{system_process} pkg {package_name},2
72,logNotificationVisibilityChanges runInThread start,6
73,onNotificationVisibilityChanged called,6
74,logNotificationVisibilityChanges runInThread over,6
75,isSimPinSecure {0} is null or empty,1
76,{action} not in {location}.,3
77,<error_type>: <error_message>,3
78,register callback for com.android.systemui.statusbar.policy.KeyguardMonitor@{keyguardMonitorId},1
79,*** unregister callback for {callback},1
80,[PhoneIntfMgr] getDataEnabled: subId={subId} phoneId={phoneId},1
81,[PhoneIntfMgr] getDataEnabled: subId={subId} retVal={retVal},1
82,"onInterceptTouchEvent MotionEvent { action=, actionButton=, id[0]=, x[0]=, y[0]=, toolType[0]=, buttonState=, metaState=, flags=, edgeFlags=, pointerCount=, historySize=, eventTime=, downTime=, deviceId=, source= }, mBlockTouches=",2
83,"onInterceptTouchEvent MotionEvent { action=?, actionButton=?, id[0]=?, x[0]=?, y[0]=?, toolType[0]=?, buttonState=?, metaState=?, flags=?, edgeFlags=?, pointerCount=?, historySize=?, eventTime=?, downTime=?, deviceId=?, source=? }, mBlockTouches=?",2
84,playSoundEffect   effectType: {effectType},10
85,"animateCollapsePanels:flags=?, force=?, delayed=?, mExpandedVisible=?",8
