,EventTemplate,Occurrences
0,setLightsOn(<*>),181
1,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=<*>, dockedStackBounds=<*>",134
2,HBM brightnessOut =<*>,85
3,"Animating brightness: target=<*>, rate=<*>",85
4,HBM brightnessIn =<*>,82
5,getRunningAppProcesses: caller %d does not hold %s; limiting output,73
6,"userActivityNoUpdateLocked: eventTime=?, event=?, flags=?, uid=?",69
7,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>",65
8,updateDimmedActivatedHideSensitive overlap:<*>,65
9,"Skipping, withExcluded: <*>, tr.intent:<*>",61
10,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>,userId=<*>",51
11,"ready=<*>,policy=?,wakefulness=?,wksummary=?,uasummary=?,bootcompleted=?,boostinprogress=?,waitmodeenable=?,mode=?,manual=?,auto=?,adj=?,userId=?",50
12,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",47
13,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=0x1,uasummary=0x1,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>",43
14,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=0x0,uasummary=0x1,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>",43
15,shouldBlockLocation running ...,37
16,shouldBlockLocation ret:<*>,37
17,getTasks: caller <*> does not hold <*>; limiting output,37
18,"Releasing suspend blocker ""<*>"".",33
19,"Acquiring suspend blocker ""<*>"".",33
20,"release:lock=?, flg=?, tag=?, name=?, ws=?, uid=?, pid=?",26
21,suspendAutohide,23
22,"cancelNotification,index:<*>",23
23,cancelPeek: <*>,20
24,"notifyUiVisibilityChanged:vis=%vis%, SystemUiVisibility=%SystemUiVisibility%",19
25,"cancelNotificationWithTag pid %d,uid = %d,tag = %s,pkg =%s,id =%d",19
26,querySoundEffectsEnabled...,17
27,cancelAutohide,15
28,"getRecentTasks: num=?,flags=?,totalTasks=?",14
29,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",13
30,"interceptKeyBeforeQueueing: key <*> , result : <*>",13
31,"state.clipTopAmount:<*>, i:<*>",13
32,removeNotificationChildren,12
33,closeQs,12
34,isMusicActive...,12
35,"overlapAmount:<*>, previousNotificationEnd:<*>, newYTranslation:<*>, location:<*>, i:<*>, getTopPadding:<*>, getLocationOnScreen():<*>",11
36,"acquire lock=<lock>, flags=<flags>, tag=""<tag>"", name=<name>, ws=<ws>, uid=<uid>, pid=<pid>",11
37,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>=<*>",10
38,resumeSuspendedAutohide,10
39,playSoundEffect effectType: <*>,10
40,"updateNotificationShade: total=<*>, active=<*>",9
41,instantCollapse,9
42,setSystemUiVisibility vis=%vis% mask=%mask% oldVal=%oldVal% newVal=%newVal% diff=%diff% fullscreenStackVis=%fullscreenStackVis% dockedStackVis=%dockedStackVis% fullscreenStackBounds=%fullscreenStackBounds% dockedStackBounds=%dockedStackBounds%,8
43,"animateCollapsePanels:flags=?, force=?, delayed=?, mExpandedVisible=?",8
44,getRecentTasks: topActivity=ComponentInfo{com.tencent.mobileqq/com.tencent.mobileqq.activity.SplashActivity},8
45,getLastAudibleStreamVolume treamType: <*>,8
46,<*>,7
47,getRunningAppProcesses: caller %caller% does not hold %permission%; limiting output,7
48,interceptKeyTq keycode=%d interactive=%b keyguardActive=%b policyFlags=%s down %b canceled %b,7
49,interceptKeyTq keycode=%s interactive=%s keyguardActive=%s policyFlags=%s down %s canceled %s,6
50,"updateLightsLocked,turn off notificationLight",6
51,logNotificationVisibilityChanges runInThread start,6
52,onNotificationVisibilityChanged called,6
53,logNotificationVisibilityChanges runInThread over,6
54,The change in focus caused us to need to do a layout begin,6
55,The change in focus caused us to need to do a layout end,6
56,cleanUpApplicationRecord -- <*>,6
57,"cleanUpApplicationRecordLocked, pid: <*>, restart: <*>",6
58,"cleanUpApplicationRecordLocked, reset pid: <*>, euid: <*>",6
59,stopWifiDisplayScanLocked record.mWifiDisplayScanRequested=<*>,6
60,getNeighboringCellInfo calling app is <*>,5
61,stopWifiDisplayScanLocked mWifiDisplayScanRequestCount=<*>,5
62,Destroying surface Surface(name=PopupWindow:9b04807) called by com.android.server.wm.WindowStateAnimator.destroySurface:<*> com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:<*> com.android.server.wm.WindowState.removeLocked:<*> com.android.server.wm.WindowManagerService.removeWindowInnerLocked:<*> com.android.server.wm.WindowManagerService.removeWindowInnerLocked:<*> com.android.server.wm.WindowManagerService.removeWindowLocked:<*> com.android.server.wm.WindowManagerService.re,5
63,"updateLightsLocked,mInCall =<*>,mScreenOn = <*>,ledNotification == null?true",4
64,Destroying surface Surface(name=<*>) called by <*> <*> <*> <*> <*> <*>,4
65,"Taking screenshot from Surface with crop:[Rect(%d, %d - %d, %d)], width:[%d], height:[%d], minLayer:[%d], maxLayer:[%d], inRotation:[%s], rot:[%d]",4
66,"updateNotificationShade: total=?, active=?",4
67,makeExpandedInvisible: mExpandedVisible=<*>,4
68,received broadcast <*>,4
69,"setSystemUiVisibility vis=%s mask=%s oldVal=%s newVal=%s diff=%s fullscreenStackVis=%d dockedStackVis=%d, fullscreenStackBounds=Rect(%d, %d - %d, %d), dockedStackBounds=Rect(%d, %d - %d, %d)",4
70,getRecentTasks: topActivity=ComponentInfo{com.example.android.notepad/com.example.android.notepad.NoteEditor},4
71,<*>.getValue is <*>,3
72,"rotationForOrientationLw(orient=?, last=?); user=? USER_ROTATION_LOCKED",3
73,"Application requested orientation <*>, got rotation <*> which has compatible metrics",3
74,"setSystemUiVisibility vis=%d mask=%s oldVal=%s newVal=%d diff=%s fullscreenStackVis=%d dockedStackVis=%d, fullscreenStackBounds=Rect(%d, %d - %d, %d), dockedStackBounds=Rect(%d, %d - %d, %d)",3
75,disable: < expand ICONS* alerts SYSTEM_INFO* back home recent clock navigationbar search quick_settings >,3
76,<*> not in <*>.,3
77,<error_type>: <error_message>,3
78,disable: < * >,3
79,Received <*> alarm; rescheduling,3
80,scheduleTimeTickEvent triggerAtTime = <*>,3
81,handleTimeUpdate,3
82,Destroying surface Surface(name=<*>) called by <*>,3
