,EventTemplate,Occurrences
0,jk2_init() Found child <*> in scoreboard slot <*>,618
1,mod_jk child workerEnv in error state %d,527
2,workerEnv.init() ok <*>,522
3,jk2_init() Found child %d in scoreboard slot %d,217
4,<*>() <*> <*>,47
5,[client %client_ip%] Directory index forbidden by rule: %directory_path%,29
6,mod_jk child workerEnv in error state <*>,12
7,jk2_init() Can't find child <*> in scoreboard,12
8,mod_jk child init %d %d,12
9,[client %client_ip%] Directory index forbidden by rule: %directory%,2
10,[client %<*>] Directory index forbidden by rule: %<*>,1
11,jk2_init() Found child <child_pid> in scoreboard slot <slot_number>,1
