,EventTemplate,Occurrences
0,{message} cache parity error {status},18
1,{message} cache parity error corrected,5
2,{timestamp} {log_level} {message},81
3,{timestamp} {message},39
4,141 double-hummer alignment exceptions,1
5,"CE sym %d, at %p, mask %x",14
6,ciod: failed to read message prefix on control stream (CioStream socket to {ip}:{port},3
7,"CE sym 20, at 0xXXXXXXXX, mask 0xXX",4
8,generating core.{core_id},154
9,generating core.{id},263
10,generating core.{core_number},15
11,generating core.{pid},276
12,generating core.{variable},1
13,force load/store alignment...............{},1
14,"CE sym %d, at %p, mask 0x%x",2
15,{component} cache {error_type} corrected,10
16,{message} cache {error_type} corrected,5
17,{component} cache {error_type} {correction_status},3
18,ciod: cpu {cpu_number} at treeaddr {tree_address} sent unrecognized message {message_code},1
19,generating core.{year},3
20,ciod: LOGIN chdir($directory) failed: $error_message,16
21,"CE sym {}, at {}, mask {}",6
22,"ddr errors(s) detected and corrected on rank <rank>, symbol <symbol>, bit <bit>",1
23,"CE sym %d, at %p, mask 0x%02x",1
24,data {variable} error interrupt,48
25,data {1} error interrupt,12
26,ciod: Message code {code} is not {value1} or {value2},1
27,data storage {status},26
28,instruction address: 0xXXXXXXXX,2
29,instruction address: {address},19
30,data address: {address},8
31,machine check: {error_type}......................{error_code},5
32,program interrupt: illegal instruction......0,5
33,data storage interrupt,4
34,exception syndrome register: 0xXXXXXXXX,6
35,data store interrupt caused by {error},4
36,program interrupt: privileged instruction...0,5
37,program interrupt: trap instruction.........0,1
38,program interrupt: imprecise exception......0,5
39,store operation.............................1,2
40,machine state register: {state},4
41,data store interrupt caused by {cause},3
42,"problem state (0=sup,1=usr).......0",3
43,floating point instr. enabled.....1,3
44,auxiliary processor.........................{},5
45,machine check enable..............{},1
46,machine check enable..............{0},1
47,floating pt ex mode {mode} enable......{enable},5
48,program interrupt: {error_message}.{error_code},2
49,debug interrupt enable............{value},1
50,byte ordering exception.....................{},2
51,data address space................{variable},3
52,core configuration register: 0xXXXXXXXX,7
53,program interrupt: {message}.............{value},1
54,guaranteed instruction cache block touch.{variable},2
55,program interrupt: fp cr field .............0,4
56,guaranteed data cache block touch........1,1
57,force load/store alignment...............{value},1
58,icache prefetch depth....................{value},1
59,icache prefetch threshold................{value},2
60,wait state enable.................{value},1
61,critical input interrupt enable...0,1
62,floating point instr. enabled.....{value},1
63,special purpose registers:,1
64,lr:{lr} cr:{cr} xer:{xer} ctr:{ctr},1
65,rts internal error,1
66,debug wait enable.................{value},2
67,instruction address space.........0,1
68,data address space................{value},2
69,disable store gathering..................0,3
70,generating core.{number},4
71,total of {count} ddr error(s) detected and corrected,13
72,{component} cache parity error {status},1
73,ciod: Error loading {file_path}: {error_message},37
74,ciod: Error creating node map from file {file_path}: {error_message},3
75,generating core.{port},3
76,"{number} ddr errors(s) detected and corrected on rank {rank}, symbol {symbol}, bit {bit}",15
77,ciod: Error loading {file}: {error_message},2
78,199680 double-hummer alignment exceptions,1
79,1969920 double-hummer alignment exceptions,1
80,{timestamp} {severity} {message},1
81,2576000 double-hummer alignment exceptions,1
82,6182400 double-hummer alignment exceptions,1
83,{ID} {Type} alignment exceptions,1
84,{ID} {description} alignment exceptions,2
85,{id} {description} alignment {type},1
86,"CE sym <SYM_ID>, at <ADDRESS>, mask <MASK>",19
87,"CE sym 23, at 0xXXXXXXXX, mask 0xXX",1
88,"CE sym <value1>, at <value2>, mask <value3>",1
89,program {status},1
90,program interrupt: illegal instruction......1,3
91,data store interrupt caused by {interrupt_cause},3
92,program {message},2
93,{Node} card is not fully functional,6
94,"CE sym %d, at %p, mask %p",5
95,344040 double-hummer alignment exceptions,2
96,"CE sym <id>, at <address>, mask <mask>",9
97,Ido chip status changed: {chip_id} ip={ip_address} v={version} t={type} status={status} {timestamp},5
98,Can not get assembly information for {node},6
99,{ID} {event} alignment exceptions,1
100,generating {error_code},1
101,ciod: Missing or invalid fields on line {line_number} of node map file {file_path},2
102,{count} torus receiver {direction} input pipe error(s) (dcr {error_code}) detected and corrected,2
103,ciod: duplicate canonical-rank {canonical_rank} to logical-rank {logical_rank} mapping at line {line_number} of node map file {file_path},1
104,ciod: Error creating node map from file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-xyzt/xyzt.map: Block device required,1
105,rts panic! - stopping execution,2
106,<timestamp> <log_level> <log_message>,1
