,EventTemplate,Occurrences
0,generating core.<*>,720
1,iar <*> dear <*>,204
2,<*> <*> <*>,83
3,<*> <*> alignment exceptions,77
4,"<*> total interrupts. <*> critical input interrupts. <*> microseconds total spent on critical input interrupts, <*> microseconds max time in a critical input interrupt.",71
5,data <*> error interrupt,60
6,<*> spent in the rbs signal handler during <*>. <*> was the maximum time for a single instance of a correctable ddr.,51
7,<*> <*>,41
8,ciod: Error loading <*>: <*>,39
9,"idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",35
10,data storage <*>,26
11,"CE sym <*>, at 0xXXXXXXXX, mask 0xXX",23
12,ciod: generated <*> core files for program <*>,22
13,<*> cache parity error <*>,19
14,instruction address: <*>,19
15,"CE sym <SYM_ID>, at <ADDRESS>, mask <MASK>",19
16,ciod: LOGIN chdir($directory) failed: $error_message,16
17,"<*> ddr errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>",16
18,"ciod: Received signal <*>, code=<*>, errno=<*>, address=<*>",16
19,<*> cache <*> corrected,15
20,"ciod: Error loading <*>: invalid or missing program image, Exec format error",15
21,"CE sym %d, at %p, mask %x",14
22,total of <*> ddr error(s) detected and corrected,13
23,data store interrupt caused by <*>,10
24,"CE sym <id>, at <address>, mask <mask>",9
25,<*> floating point alignment exceptions {<*>},9
26,data address: <*>,8
27,program interrupt: illegal instruction......<*>,8
28,<*> double-hummer alignment exceptions,7
29,"CE sym <*>, at <*>, mask <*>",7
30,core configuration register: 0xXXXXXXXX,7
31,Lustre mount FAILED : <node> : point <mount_point>,7
32,exception syndrome register: 0xXXXXXXXX,6
33,<*> card is not fully functional,6
34,Can not get assembly information for <*>,6
35,"Node card VPD check: <*> node in processor card slot <*> do not match. VPD ecid <*>, found <*>",6
36,rts: kernel terminated for reason <*>,6
37,ciod: generated <*> for program <*>,6
38,"<*> ddr error(s) detected and corrected on rank <*>, symbol <*> over <*> seconds",6
39,<*> cache parity error corrected,5
40,machine check: <*>......................<*>,5
41,program interrupt: privileged instruction...<*>,5
42,program interrupt: imprecise exception......<*>,5
43,auxiliary processor.........................<*>,5
44,floating pt ex mode <*> enable......<*>,5
45,data address space................<*>,5
46,"CE sym %d, at %p, mask %p",5
47,Ido chip status changed: <*> ip=<*> v=<*> t=<*> status=<*> <*>,5
48,ciod: <*> on CioStream socket to <*>: <*>,5
49,data cache search <*> error detected. attempting to correct,5
50,MACHINE CHECK DCR read timeout (mc=e08x iar 0x00000000 lr 0xc00045a4),5
51,data storage interrupt,4
52,machine state register: <*>,4
53,floating point instr. enabled.....<*>,4
54,program interrupt: fp cr field .............<*>,4
55,<*> floating point alignment exceptions,4
56,iar XXXXXXXX dear XXXXXXXX,4
57,"ciod: <*> on CioStream socket to <*>, Link has been severed",4
58,"ciod: Error reading message prefix on CioStream socket to <*>, Link has been severed",4
59,total of <*> ddr error(s) detected and corrected over <*> seconds,4
60,"Kernel detected <*> (<*>) iar <*>, dear <*>",4
61,ciod: failed to read message prefix on control stream (CioStream socket to <*>,3
62,<*> cache <*> <*>,3
63,"problem state (<*>=sup,<*>=usr).......<*>",3
64,disable store gathering..................<*>,3
65,ciod: Error creating node map from file <*>: <*>,3
66,program <*>,3
67,New ido chip inserted into the database: <*> ip=<*> v=<*> t=<*>,3
68,Node card status: <*>. Clock Mode is <*>. Clock Select is <*>. Phy JTAG Reset is <*>. ASIC JTAG Reset is <*>. Temperature Mask is <*>. Temperature error: <*>. Temperature Limit Error Latch is <*>. PGOOD IS <*>. PGOOD ERROR LATCH IS <*>. MPGOOD IS <*>. MPGOOD ERROR LATCH IS <*>. The <*> volt rail is <*>. The <*> volt rail is <*>.,3
69,ciod: pollControlDescriptors: <*>,3
70,"CE sym <*>, at %s, mask %s",3
71,<timestamp> <log level> <message>,3
72,"Error receiving packet on tree network, expecting type <*> instead of type <*> (softheader=<*> PSR0=<*> PSR1=<*> PRXF=<*> PIXF=<*>)",3
73,"ciod: <*> on CioStream socket to <*>, <*>",3
74,force load/store alignment...............<*>,2
75,"CE sym %d, at %p, mask 0x%x",2
76,instruction address: 0xXXXXXXXX,2
77,store operation.............................<*>,2
78,machine check enable..............<*>,2
79,program interrupt: <*>,2
80,byte ordering exception.....................<*>,2
