,EventTemplate,Occurrences
0,authentication failure; logname= uid= euid= tty= ruser= rhost=,76
1,check pass; user unknown,46
2,authentication failure; logname= uid= euid= tty= ruser= rhost= user=,332
3,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost= user=root,16
4,session opened for user {username} by (uid={uid}),88
5,session closed for user {username},44
6,ALERT exited abnormally with [1],43
7,session opened for user {user} by (uid={uid}),28
8,session closed for user {user},79
9,check pass; user {user},52
10,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,1
11,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,1
12,{action} pass; user {user_status},13
13,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=,15
14,check {status}; user {user},2
15,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,1
16,connection from <source_ip> (<source_hostname>) at <timestamp>,219
17,User {username} timed out after {timeout} seconds at {timestamp},1
18,{service} shutdown {status},5
19,cupsd startup succeeded,6
20,restart.,7
21,connection from {IP} () at {timestamp},201
22,connection from <source_ip> () at <timestamp>,332
23,connection from <IP> () at <Date>,2
24,Received SNMP packet(s) from {IP},1
25,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14,1
26,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,11
27,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,7
28,check pass; user {user_status},4
29,connection from {IP} () at {Date},15
30,connection from {ip_address} () at {timestamp},29
31,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost= user=,8
32,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.115.206.155,1
33,session opened for user {} by (uid={}),6
34,connection from {source_ip} () at {timestamp},26
35,connection from {ip} () at {timestamp},11
36,Authentication failed from <IP Address>: Permission denied in replay cache code,4
37,Kerberos authentication failed,12
38,Authentication failed from {IP_address}: Permission denied in replay cache code,2
39,{Message} authentication failed,11
40,Authentication failed from {IP}: Permission denied in replay cache code,2
41,Authentication failed from {source_ip}: {error_message},2
42,Authentication failed from {IP_address}: {Reason},1
43,Authentication failed from {sourceIP}: {errorMessage},7
44,Authentication failed from {sourceIP} ({sourceIP}): {reason},4
45,Authentication failed from {source_ip} ({source_ip}): {reason},1
46,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=195.129.24.210  user=root,1
47,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=zummit.com,9
48,*** info [mice.c(1766)]:,1
49,imps2: Auto-detected intellimouse PS/2,1
50,session opened for user {username} by LOGIN(uid={uid}),1
51,{USER} LOGIN ON {TTY},1
52,removing device node '{device}',2
53,removing device node '{device_node}',2
54,creating device node '{device_node}',1
55,creating device node '{device}',3
56,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=p15105218.pureserver.info  user=root,2
57,connection from [source_ip] ([source_host]) at [timestamp],2
58,connection from [sourceIP] ([sourceHost]) at [timestamp],21
59,connection from [sourceIP] ([sourceHostname]) at [timestamp],2
60,Couldn't authenticate user,1
61,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=202-132-40-29.adsl.ttn.net  user=root,1
62,connection from {ip} () at {date},1
63,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=61-220-159-99.hinet-ip.hinet.net  user=root,1
64,connection from <source_ip> (<source_host>) at <timestamp>,37
65,connection from {IP} ({host}) at {timestamp},3
66,connection from <IP> (<host>) at <timestamp>,1
67,connection from {sourceIP} ({sourceHost}) at {timestamp},2
68,connection from [IP] ([hostname]) at [timestamp],1
69,connection from <IP_ADDRESS> (<HOSTNAME>) at <DATE_TIME>,1
70,connection from <IP> (<hostname>) at <timestamp>,2
71,connection from {sourceIP} at {timestamp},1
72,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211-76-104-65.ebix.net.tw,5
73,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.55.234.102,1
74,"ANONYMOUS FTP LOGIN FROM <IP_ADDRESS>,  (<USERNAME>)",2
75,{service} shutdown {result},1
76,notify {action} section contains no {type},10
77,notify {section} contains no SOA,6
78,getpeername (ftpd): Transport endpoint is not connected,4
79,warning: can't get client address: Connection reset by peer,2
80,{service} startup {status},3
81,"klogd {version}, log source = {source} started.",1
82,Linux version {version} ({compiler}) (gcc version {gcc_version}) #{build_number} {timestamp},1
83,BIOS-provided physical RAM map:,1
84,BIOS-e820: start_address - end_address (type),2
85,BIOS-e820: {start_address} - {end_address} ({type}),3
86,"""{size} HIGHMEM available.""",1
87,{MEMORY_SIZE} LOWMEM available.,1
88,zapping {level} mappings.,1
89,{klogd} {startup} {succeeded},1
90,On node {node_number} totalpages: {total_pages},1
91,"DMA zone: <number> pages, LIFO batch:<number>",1
92,"Normal zone: {pages} pages, LIFO batch:{batch}",1
93,{service} startup succeeded,1
94,"HighMem zone: %d pages, LIFO batch:%d",1
95,DMI {version} present.,1
96,ACPI disabled because your bios is from {year} and too old,1
97,You can enable it with acpi=force,1
98,Built {number} zonelists,1
99,Kernel command line: ro root=LABEL=/ rhgb quiet,1
100,mapped {} trampoline to {}.,1
101,Initializing CPU#{CPU_number},1
102,"CPU {cpu_number} irqstacks, hard={hard_address} soft={soft_address}",1
103,{service} {action} {result},1
104,PID hash table entries: %d (order %d: %d bytes),1
105,Detected {processor_speed} MHz processor.,1
106,Version {version} Starting,1
107,Using tsc for {timesource},1
108,rpc.statd startup {status},1
109,Console: colour VGA+ 80x25,1
110,"Memory: {total_memory}k/{available_memory}k available ({kernel_code}k kernel code, {reserved_memory}k reserved, {data_memory}k data, {init_memory}k init, {highmem_memory}k highmem)",1
111,Calibrating delay loop... [BogoMIPS],1
112,Security Scaffold v{version} initialized,1
113,SELinux: Initializing.,1
114,SELinux:  Starting in permissive mode,1
115,"There is already a {1} initialized, {2} failed.",1
