,EventTemplate,Occurrences
0,"{ip_address} ""{http_method} {endpoint} HTTP/1.1"" status: {status_code} len: {response_length} time: {response_time}",148
1,"""{ip} ""{method} {path} {protocol}"" status: {status} len: {length} time: {response_time}""",182
2,"{ip} ""{method} {path} {protocol}"" status: {status} len: {length} time: {response_time}",218
3,"""{ip} ""{method} {path} HTTP/{http_version}"" status: {status_code} len: {content_length} time: {response_time}""",3
4,[instance: {instance_id}] {event_type} (Lifecycle Event),44
5,[instance: {instance_id}] {event_description},17
6,[instance: {instance_id}] During sync_power_state the instance has a pending task ({task}). Skip.,30
7,image {image_id} at ({file_path}): {action},82
8,"image {image_id} at ({file_path}): in use: on this node {local_count} local, {other_count} on other nodes sharing this instance storage",3
9,Active base files: {base_file_path},61
10,"""{ip} ""{method} {path} HTTP/1.1"" status: {status} len: {length} time: {response_time}""",46
11,Creating event network-vif-plugged:{instance_id} for instance {event_id},19
12,"""{ip_address} ""{http_method} {endpoint} {protocol}"" status: {status_code} len: {response_length} time: {response_time}""",24
13,[instance: {instance_id}] {message},101
14,[instance: {instance_id}] Took {time} seconds to spawn the instance on the hypervisor.,22
15,"image {image_id} at ({file_path}): in use: on this node {local_count} local, {other_nodes_count} on other nodes sharing this instance storage",41
16,[instance: {instance_id}] Took {time} seconds to build instance.,22
17,"""{ip} ""{method} {path} HTTP/{http_version}"" status: {status_code} len: {response_length} time: {response_time}""",18
18,Auditing locally available compute resources for node {node_name},15
19,"Total usable vcpus: {usable_vcpus}, total allocated vcpus: {allocated_vcpus}",15
20,Final resource view: name={name} phys_ram={phys_ram}MB used_ram={used_ram}MB phys_disk={phys_disk}GB used_disk={used_disk}GB total_vcpus={total_vcpus} used_vcpus={used_vcpus} pci_stats={pci_stats},9
21,Compute_service record updated for {compute_instance}:{compute_instance},4
22,"image {image_id} at ({file_path}): in use: on this node {local_count} local, {other_node_count} on other nodes sharing this instance storage",38
23,"{client_ip},{server_ip} ""{http_method} {endpoint} {protocol}"" status: {status_code} len: {response_length} time: {response_time}",7
24,"""{client_ip} {server_ip} \""{request_method} {request_url} {http_version}\"" status: {status_code} len: {response_length} time: {response_time}""",1
25,"{client_ip},{server_ip} ""{http_method} {path} {protocol}"" status: {status_code} len: {response_length} time: {response_time}",30
26,"<client_ip>,<server_ip> ""<request_method> <request_uri> <request_protocol>"" status: <status_code> len: <response_length> time: <response_time>",3
27,"""{client_ip} {server_ip} \""{method} {path} {protocol}\"" status: {status_code} len: {content_length} time: {response_time}""",25
28,"""{client_ip} {server_ip} \""{request_method} {request_uri} {http_version}\"" status: {status_code} len: {response_length} time: {response_time}""",3
29,[instance: {instance_id}] Deleting instance files {file_path},17
30,[instance: {instance_id}] Deletion of {file_path} complete,15
31,[instance: {instance_id}] Took {time} seconds to destroy the instance on the hypervisor.,21
