,EventTemplate,Occurrences
0,"<*> ""<*> <*> <*>"" status: <*> len: <*> time: <*>",256
1,"""<*> ""<*> <*> <*>"" status: <*> len: <*> time: <*>""",225
2,"<*> ""<*> <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>",164
3,[instance: <*>] <*>,139
4,"""<*> ""<*> <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>""",124
5,image <*> at (<*>): <*>,82
6,"image <*> at (<*>): in use: on this node <*> local, <*> on other nodes sharing this instance storage",82
7,Active base files: <*>,82
8,"<*>,<*> ""<*> <*> <*>"" status: <*> len: <*> time: <*>",58
9,"""<*> <*> \""<*> <*> <*>"" status: <*> len: <*> time: <*>""",56
10,[instance: <*>] <*> (Lifecycle Event),45
11,[instance: <*>] During sync_power_state the instance has a pending task (<*>). Skip.,30
12,Unknown base file: <*>,30
13,Removable base files: <*>,30
14,"""<*> ""<*> <*> HTTP/<*>"" status: <*> len: <*> time: <*>""",27
15,[instance: <*>] Took <*> seconds to spawn the instance on the hypervisor.,22
16,[instance: <*>] Took <*> seconds to build instance.,22
17,[instance: <*>] Took <*> seconds to destroy the instance on the hypervisor.,21
18,[instance: <*>] Took <*> seconds to deallocate network for instance.,21
19,Removing base or swap file: <*>,21
20,HTTP exception thrown: <*>,21
21,"[instance: <*>] Total memory: <*> MB, used: <*> MB",21
22,"[instance: <*>] memory limit: <*> MB, free: <*> MB",21
23,"[instance: <*>] Total disk: <*> GB, used: <*> GB",21
24,"[instance: <*>] Total vcpu: <*> VCPU, used: <*> VCPU",21
25,"<*> <*> ""<*> <*> <*>"" status: <*> len: <*> time: <*>",21
26,Creating event network-vif-plugged:<*> for instance <*>,20
27,"[instance: <*>] Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",19
28,<*>,18
29,[instance: <*>] Deleting instance files <*>,17
30,Auditing locally available compute resources for node <*>,15
31,"Total usable vcpus: <*>, total allocated vcpus: <*>",15
32,Final resource view: name=<*> phys_ram=<*> used_ram=<*> phys_disk=<*> used_disk=<*> total_vcpus=<*> used_vcpus=<*> pci_stats=<*>,15
33,[instance: <*>] Deletion of <*> complete,15
34,Compute_service record updated for <*>,14
35,[instance: <*>] <*> (<*>),14
36,[instance: <*>] VM <*> (Lifecycle Event),12
37,"[instance: <*>] vcpu limit not specified, defaulting to unlimited",11
