,EventTemplate,Occurrences
0,{source}: {action} through proxy {proxy}: {protocol},211
1,"{host}:{port} {action}, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",74
2,{source}: {action} through proxy {proxy_server} {protocol},216
3,"{host}:{port} {action}, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime <{duration} sec}",33
4,"{host}:{port} close, {bytes_sent} bytes sent, {bytes_received} bytes ({kb_received} KB) received, lifetime <{lifetime} sec}",5
5,"{host}:{port} {action}, {bytes_sent} bytes sent, {bytes_received} bytes ({kb_received} KB) received, lifetime <{duration} sec>",2
6,"{host}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",98
7,"{host}:{port} {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {duration}",37
8,"{host}:{port} {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime <{lifetime} sec}",24
9,"{host}:{port} {action}, {bytes_sent} bytes sent, {bytes_received} bytes ({kb_received} KB) received, lifetime {lifetime}",17
10,{source}: {action} through proxy {proxy_address} {protocol},20
11,"{host}:{port} {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime {duration}",26
12,"{host}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime {duration}",2
13,"{host}:{port} {action}, {bytes_sent} bytes sent, {bytes_received} bytes ({kb_received} KB) received, lifetime <{duration} sec}",4
14,{source}: {action} through proxy {proxy} {protocol},9
15,"{host}:{port} {action}, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime <{lifetime} sec}",19
16,"{host}:{port} {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime <{lifetime} sec}",11
17,"{host}:{port} {action}, {bytes_sent} bytes sent, {bytes_received} bytes ({kb_received} KB) received, lifetime <{lifetime}> sec",2
18,"{host}:{port} close, {bytes_sent} bytes sent, {bytes_received} bytes ({kb_received} KB) received, lifetime {lifetime}",18
19,"{host}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime <{lifetime} sec}",14
20,"{host}:{port} close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime <{lifetime} sec}",28
21,"{host}:{port} close, {sent_bytes} bytes sent, {received_bytes} bytes ({received_kb} KB) received, lifetime <{lifetime} sec}",2
22,"{host}:{port} close, {bytes_sent} bytes sent, {bytes_received} bytes ({kb_received} KB) received, lifetime <{lifetime} sec>",2
23,"{host}:{port} close, {bytes_sent} bytes sent, {bytes_received} bytes ({kilobytes_received} KB) received, lifetime <{lifetime} sec>",1
24,"{host}:{port} {action}, {sent} bytes sent, {received} bytes received, lifetime <{duration} sec}",10
25,"{host}:{port} close, {sent} bytes sent, {received} bytes ({received_kb} KB) received, lifetime <{lifetime} sec>",1
26,"{host}:{port} {action}, {sent} bytes sent, {received} bytes received, lifetime {lifetime}",14
27,"{host}:{port} {action}, {sent} bytes sent, {received} bytes received, lifetime {duration}",10
28,"{host}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime <{lifetime} sec}",6
29,"{host}:{port} close, {sent} bytes sent, {received} bytes received, lifetime {lifetime}",33
30,"{host}:{port} {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime {lifetime}",22
31,"{host}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime {lifetime}",26
32,"{host}:{port} close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",40
33,"{host}:{port} close, {sent} bytes sent, {received} bytes received, lifetime <{lifetime} sec}",3
34,"{host}:{port} {action}, {sent} bytes sent, {received} bytes ({received_kb} KB) received, lifetime {lifetime}",2
35,{source_ip}:{source_port} open through proxy {proxy_host}:{proxy_port} {proxy_type},2
36,"{host}:{port} {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",57
37,"{host}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_mb} MB) received, lifetime {lifetime}",5
38,"{host}:{port} {status}, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime <{duration} sec}",1
39,{hostname} error : {error_message},4
40,{hostname} error : {error_message} - Proxy closed the connection unexpectedly.,1
41,"{host}:{port} {action}, {sent_bytes} bytes sent, {received_bytes} bytes received, lifetime <{duration} sec}",1
42,"{host}:{port} close, {sent} bytes sent, {received} bytes ({received_kb} KB) received, lifetime {lifetime}",6
43,"{host}:{port} {action}, {bytes_sent} bytes sent, {bytes_received} bytes ({kb_received} KB) received, lifetime {duration}",17
44,"{host}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {duration}",3
45,"{host}:{port} {action}, {sent} bytes ({sent_kb} KB) sent, {received} bytes received, lifetime {lifetime}",1
46,"{IP}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",1
47,"{host}:{port} {action}, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {duration}",13
48,{source_ip}:{source_port} open through proxy {proxy_host}:{proxy_port} {protocol},8
49,{host}:{port} open through proxy {proxy_host}:{proxy_port} {protocol},163
50,"{hostname}:{port} {status}, {sent} bytes sent, {received} bytes received, lifetime <{duration} sec>",1
51,"{host}:{port} {status}, {sent} bytes sent, {received} bytes received, lifetime <{duration} sec}",1
52,{source_host}:{source_port} open through proxy {proxy_host}:{proxy_port} {protocol},156
53,"{hostname}:{port} {status}, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime <{lifetime} sec}",1
54,"{hostname} close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime <{lifetime} sec}",2
55,"{host}:{port} close, {sent_bytes} bytes sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",7
56,{source}:{port} open through proxy {proxy}:{proxy_port} {protocol},58
57,"{host}:{port} {status}, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime <{time} sec}",2
58,"{host}:{port} {action}, {sent_bytes} bytes sent, {received_bytes} bytes ({received_kb} KB) received, lifetime <{lifetime} sec>",1
59,"{timestamp}.{host} close, {sent_bytes} bytes sent, {received_bytes} bytes ({received_kb} KB) received, lifetime <{lifetime} sec}",1
60,"{host}:{port} {action}, {sent} bytes sent, {received} bytes ({size}) received, lifetime {duration}",9
61,"{hostname} close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",2
62,{hostname} error : {message},13
63,{source}:{port} {level} : {message} - {additional information},1
64,"{host}:{port} {action}, {sent} bytes sent, {received} bytes received, lifetime <{time} sec}",1
65,"{host}:{port} close, {sent} bytes sent, {received} bytes ({received_kb} KB) received, lifetime <{lifetime} sec}",2
66,{origin_host} open through proxy {proxy_host} {protocol},3
67,"{IP}:{Port} close, {BytesSent} bytes sent, {BytesReceived} bytes received, lifetime {Lifetime}",1
68,"{IP}:{Port} {status}, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {duration}",1
69,"{source_ip}:{port} {action}, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",1
